NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,B16,B17A,B17B,B18,B19A,B19B,B19C,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT,PESOFIT2
935636,2,2,1,2,1,1955,1,,,1,7,4,103,110,0,1979,3,,2,,,,2,15,5,3,1,,26,2,,,1,37,5,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,65,5,1,5,,,5,6,3,5,1,1,0,1,2,1,2,1,3,0.7931144345,3211.9410625
935638,3,1,1,1,1,1959,1,,,1,7,8,110,110,1,1982,4,,1,,,,1,7,,,1,,28,2,,,1,34,1,1,99,2,,,1,0,6,75,70,,,2,1,2,2,2,2,2,,1120,3,,2,2,,61,5,1,5,,,4,4,2,2,1,1,1,2,2,1,2,2,5,0.0001984376,0.8036292235
935638,3,2,2,2,1,1963,1,,,1,7,6,110,110,1,1988,3,,2,,,,1,5,,,3,1,29,2,,,1,15,1,1,,2,,,1,0,5,,,4,,1,2,2,2,2,2,2,,1120,3,52,2,2,,57,4,1,5,,,4,3,1,2,0,1,1,2,2,1,2,2,5,0.0001984376,0.8036292235
935638,3,3,1,6,1,2003,1,,,2,5,,98,100,,2020,6,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,17,5,1,5,,,1,7,3,5,0,0,0,2,2,1,2,2,5,0.0001984376,0.8036292235
935643,3,1,1,1,1,1974,1,,,1,7,8,97,110,0,2000,3,,1,,,,1,6,,,1,,26,2,,,1,18,0,1,0,2,,,1,1,2,70,60,,,2,1,2,2,2,2,2,,2611,19,,2,2,,46,5,1,5,,,3,4,2,4,1,1,1,2,2,1,2,2,5,1.5491873497,6273.8720232
935643,3,2,2,2,1,1978,1,,,1,7,8,108,110,0,2002,3,,1,,,,1,6,,,1,,24,2,,,1,16,0,1,60,2,,,1,0,0,70,60,,,2,1,2,2,2,2,2,,2611,19,,2,2,,42,5,1,5,,,2,4,2,4,0,1,1,2,2,1,2,2,5,1.5491873497,6273.8720232
935643,3,3,1,6,1,2009,1,,,2,2,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,11,5,1,5,,,1,7,3,5,0,0,0,2,2,1,2,2,5,1.5491873497,6273.8720232
935659,1,1,2,1,1,1934,1,,,4,5,,10,10,,1954,5,2,1,,,,2,16,,,0,,,,,,,,,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,86,5,1,5,,,5,6,3,5,1,1,0,0,1,1,2,2,5,0.894986937,3624.5025536
935666,1,1,1,1,1,1934,1,,,4,8,3,108,110,0,1960,3,,1,,,,2,15,5,17,1,,25,2,,,1,42,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,86,9,2,5,,,5,6,3,5,1,1,0,0,1,1,2,2,5,0.4566417312,1849.2997522
935676,2,1,1,1,1,1944,1,,,1,4,,,,,,,,1,,,,2,15,6,6,1,,18,2,,,1,49,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,5,1,5,,,5,6,3,5,1,1,0,0,2,1,2,2,5,0.4613922513,1868.538326
