NQUEST,nord,Y,NCOMP,ANASC,STACIV,VOTOEDU,SUEDU,SELODE,NESPLAV,PROBLAV1,SALMIN,ETA,CFRED,NPERC,PESOFIT,PESOFIT2,W,SEX_2,NASC_2,CIT_2,STUDIO_3,STUDIO_2,STUDIO_6,STUDIO_4,STUDIO_7,STUDIO_1,STUDIO_8,TIPOLAU_3,TIPOLAU_10,TIPOLAU_4,TIPOLAU_5,TIPOLAU_1,TIPOLAU_9,TIPOLAU_8,TIPOLAU_6,TIPOLAU_7,TIPOLAU_2,TIPODIP_0,TIPODIP_5,TIPODIP_1,TIPODIP_3,TIPODIP_6,TIPODIP_4,DISLAV_1,DISLAV_0,CONTRIB_0,CONTRIB_2,OCCNOW_1,OCCNOW_0,SMARTW_2,SMARTW_1,QUAL_7,QUAL_2,QUAL_1,QUAL_4,QUAL_5,QUAL_3,Q_1,Q_2,SETT_4,SETT_2,SETT_3,SETT_1,PERC_0,ACOM5_3,ACOM5_2,ACOM5_5,ACOM5_1
7886,1,34455,2,1950,1,36,60,0,1,0,0,70,1,2,1,5042,519000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7886,2,2100,2,1953,1,36,60,0,1,0,0,67,0,2,1,5042,519000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
20297,1,14547,2,1960,1,0,0,0,3,0,0,60,1,2,1,6760,-53000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20297,2,9800,2,1979,1,0,0,0,3,0,0,41,0,2,1,6760,-53000,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20711,1,6012,2,1945,1,0,0,0,0,0,0,75,0,1,3,13666,14000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20711,2,26000,2,1944,1,0,0,0,3,0,0,76,1,1,3,13666,14000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22099,1,13804,2,1958,1,0,0,0,1,50,0,62,1,1,1,5129,261921,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22169,1,11440,1,1944,4,0,0,0,1,0,0,76,1,1,1,6834,350,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22173,1,14026,3,1975,2,50,60,0,1,50,0,45,1,2,2,11484,12500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22173,2,13000,3,1938,4,0,0,0,0,0,0,82,0,2,2,11484,12500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
