NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
800135,1,3,,2,2,1,1,1,1,1,1,2,,1,2,,1977,1,2
800416,2,3,,2,1,2,2,1,1,1,1,1,2,2,,,1999,3,4
800464,2,3,,2,2,3,3,1,1,1,1,1,1,2,,,1990,2,4
800569,2,3,,,,,,,,,,2,,2,,,,3,3
800702,2,3,,,,,,,,,,1,3,2,,,1998,2,4
800705,2,3,,,,,,,,,,2,,1,2,,1978,2,2
800884,1,3,,2,2,,,1,1,,,2,,2,,2,,2,1
800901,1,3,,,,,,,,,,2,,1,2,,1975,1,2
801104,1,3,,,,,,,,,,2,,1,3,,1966,1,2
801202,1,3,,,,,,,,,,2,,2,,,1997,4,4
801221,1,3,,1,1,1,1,1,1,1,1,2,,1,1,,1986,3,3
801279,2,3,,3,3,2,2,1,1,1,1,1,1,1,1,,1985,3,2
801486,2,3,,2,3,2,2,1,1,1,1,1,1,2,,,1994,2,3
801541,1,3,,2,2,,,2,2,,,1,1,1,2,,,7,5
801878,2,3,,,,,,,,,,1,3,1,1,,1978,2,3
801955,2,3,,,,,,,,,,1,3,2,,,2004,2,4
801972,2,3,,,,,,,,,,1,2,1,2,,1983,2,2
802349,2,3,,2,2,2,2,1,1,1,1,1,4,2,,,1995,2,3
802595,2,3,,,,,,,,,,2,,1,2,,,2,1
802905,2,3,,,,,,,,,,1,1,2,,,2014,2,3
803483,2,3,,,,,,,,,,1,2,2,,2,,4,2
803526,2,3,,2,2,2,2,1,1,1,1,1,2,2,,,1997,2,4
803566,2,3,,1,1,1,1,1,1,1,1,2,,1,2,,1978,2,2
803661,2,3,,,,,,,,,,2,,1,1,,1969,2,2
804209,2,3,,2,2,2,1,1,1,1,1,1,1,1,1,,1988,2,3
804515,2,3,,,,,,,,,,2,,1,2,,,2,1
804534,1,3,,,,,,,,,,1,1,1,1,2,,2,1
804720,2,3,,,,,,,,,,2,,2,,,1990,2,5
805179,1,3,,,,,,,,,,2,,1,2,,,1,1
805189,1,3,,,,,,,,,,2,,1,3,,,1,1
805227,1,3,,,,,,,,,,2,,1,1,,1971,1,2
805264,1,3,,2,2,3,2,1,1,1,1,1,3,1,1,,1986,1,2
805330,2,3,,,,,,,,,,2,,1,2,,1973,2,2
805435,1,3,,2,1,1,1,1,1,1,1,2,,2,,,1990,1,4
805449,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1985,1,3
805475,1,3,,2,3,2,2,1,1,1,1,,,1,2,2,,1,3
805556,2,3,,2,2,,,1,1,,,2,,2,,2,,2,1
805719,2,3,,2,2,,,1,1,,,2,,1,2,,,2,1
806339,2,3,,,,,,,,,,2,,2,,2,,4,1
806540,1,3,,3,4,3,3,1,1,1,1,2,,1,1,,1988,5,2
806560,2,3,,,,,,,,,,1,4,2,,,2020,2,2
806563,2,3,,,,,,,,,,2,,2,,,2000,2,6
806583,2,3,,,,,,,,,,1,1,2,,,1979,2,4
806586,1,3,,,,,,,,,,2,,1,3,,,2,1
806650,2,3,,,,,,,,,,1,1,1,2,,1982,2,2
807054,2,3,,,,,,,,,,1,2,2,,,1982,3,4
