NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA4,YTA5,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
50231,32340,18000,18000,0,10140,10140,10140,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,4200,0,0,0,0,0,6,3
51363,10021.532874,0,0,0,8450,8450,8450,0,0,0,0,0,0,0,0,0,0,0,0,1571.5328742,1455,0,1455,116.53287423,116.53287423,0,0,0,1,1
51544,25711.805806,0,0,0,19890,19890,19890,0,0,0,0,0,0,0,0,0,0,0,0,5821.8058058,6000,0,6000,-178.1941942,1.2395481089,0,0,179.43374227,5,3
51895,33273.944916,0,0,0,23660,23660,23660,0,0,0,0,0,0,0,0,0,0,0,0,9613.9449162,9600,0,9600,13.944916225,13.944916225,0,0,0,6,3
52700,16780.142657,0,0,0,11960,11960,11960,0,0,0,0,0,0,0,0,0,0,0,0,4820.1426568,4800,0,4800,20.142656769,20.142656769,0,0,0,3,2
52718,12501.825077,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,6001.8250766,6000,0,6000,1.8250765943,1.8250765943,0,0,0,2,1
52736,11600,0,0,0,6000,0,0,0,6000,0,0,0,0,0,0,0,0,6000,0,5600,5600,0,5600,0,0,0,0,0,1,1
53086,37549.943514,28270,27000,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9279.9435136,9125,0,9125,154.94351361,154.94351361,0,0,0,7,4
53202,26076.743507,0,0,0,20000,20500,20500,0,-500,0,0,0,0,-500,0,500,0,0,0,6076.7435068,6000,0,6000,76.743506832,6.8175145989,69.925992233,0,0,5,3
53234,66054.943514,30000,30000,0,29900,29900,29900,0,0,0,0,0,0,0,0,0,0,0,0,6154.9435136,6000,0,6000,154.94351361,154.94351361,0,0,0,9,5
53373,48054.648305,0,0,0,39650,39650,39650,0,0,0,0,0,0,0,0,0,0,0,0,8404.6483054,8400,0,8400,4.6483054083,4.6483054083,0,0,0,8,4
53380,21501.549435,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,0,0,7201.5494351,7200,0,7200,1.5494351361,1.5494351361,0,0,0,4,2
53552,13083.377123,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.377123168,0,0,0,83.377123168,55.7796649,0,27.597458268,0,2,1
53564,31025.381379,0,0,0,1500,0,0,0,1500,0,0,0,0,0,0,0,1500,0,15000,14525.381379,14200,0,14200,325.38137858,325.38137858,0,0,0,6,3
53997,83393.186443,40000,40000,0,36156,42156,42156,0,-6000,0,0,0,0,-6000,0,6000,0,0,0,7237.1864433,7200,0,7200,37.186443267,37.186443267,0,0,0,10,5
55147,27773.944916,0,0,0,22360,22360,22360,0,0,0,0,0,0,0,0,0,0,0,0,5413.9449162,5400,0,5400,13.944916225,13.944916225,0,0,0,5,3
55425,8123.5050738,0,0,0,600,0,0,0,600,0,0,0,0,0,0,0,600,0,7500,23.505073756,0,0,0,23.505073756,23.505073756,0,0,0,1,1
55636,69487.186443,48200,47000,1200,13650,13650,13650,0,0,0,0,0,0,0,0,0,0,0,0,7637.1864433,7600,1400,6200,37.186443267,37.186443267,0,0,0,9,5
55774,24312.044755,13000,13000,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,4812.0447553,4800,0,4800,12.044755323,12.044755323,0,0,0,5,3
56251,26615.494351,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615.4943514,3600,0,3600,15.494351361,15.494351361,0,0,0,5,3
56563,20548.922708,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,3648.9227078,3600,0,3600,48.922707849,48.922707849,0,0,0,4,2
56582,40527.730632,19200,18200,1000,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,0,0,5077.7306322,5000,0,5000,77.730632208,18.593221633,0,59.137410574,0,7,4
