NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
28992,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,600,2,,,2,,2,5,1,2,2,1,1
29140,2,,,2,2,55,1,2,,,,,2,,,,,1,2,2,,200,2,,,1,3,4,10,,,,1,2
29678,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,4,9,,,,1,1
29680,2,,,1,1,,2,,,,,,1,1,1,,,1,2,1,1,500,1,3,3,1,2,4,9,,,,1,1
29737,2,,,2,2,90,2,,,,,,1,2,2,,,1,2,1,1,100,1,3,3,1,2,1,10,,,,1,3
31093,2,,,1,1,,1,2,,,,,2,,,,,2,,2,,400,2,,,1,3,3,10,,,,1,1
31220,1,1,2,2,3,40,2,,,,,,2,,,,,2,,2,,700,2,,,1,3,0,9,,,,1,3
31221,2,,,1,1,,1,2,,,,,1,1,2,,,2,,2,,1000,2,,,2,,2,8,,,,1,1
31625,2,,,2,2,10,2,,,,,,1,2,2,,,1,1,2,,100,1,3,3,1,2,1,8,,,,1,2
31652,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,400,2,,,1,3,2,10,,,,1,2
31695,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,300,1,3,3,1,3,2,7,,,,1,1
31724,1,2,3,1,1,,3,,,,,,1,3,2,,,1,4,1,1,1000,1,3,3,1,2,10,8,,,,1,3
31757,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,2,,1,6,,,,1,1
31860,2,,,2,2,95,1,2,,,,,2,,,,,1,3,1,1,1000,1,3,3,1,2,10,7,,,,1,2
32057,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,600,2,,,2,,3,8,,,,1,1
32190,2,,,2,2,50,3,,,,,,1,1,1,,,1,1,2,,500,2,,,1,3,8,8,,,,1,2
32320,1,1,2,2,2,90,1,2,,,,,1,2,2,,,1,3,2,,500,1,3,3,1,2,2,7,,,,1,3
32471,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,600,2,,,2,,1,7,,,,1,1
32524,1,1,2,2,2,83,1,2,,,,,1,2,2,,,1,2,1,1,300,1,2,3,1,3,2,10,,,,1,2
32556,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,200,1,3,3,1,3,3,3,1,2,2,1,1
32729,2,,,1,1,,1,1,5,4000,5000,,1,1,2,,,1,1,2,,500,2,,,2,,4,9,,,,1,1
32734,2,,,1,1,,1,1,5,500,0,,1,1,2,,,1,1,2,,400,1,3,3,1,3,8,8,,,,1,1
32765,1,1,1,2,2,80,2,,,,,,1,2,2,,,1,2,1,1,500,1,3,3,1,2,4,7,,,,1,2
32772,1,1,2,2,2,50,2,,,,,,2,,,,,1,2,1,1,500,2,,,1,3,2,10,,,,1,2
32822,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,600,2,,,2,,2,4,1,1,2,1,1
32839,2,,,2,2,60,2,,,,,,2,,,,,1,2,2,,500,1,3,3,1,3,2,8,,,,1,2
