NQUEST,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,QUOTAINTP,SCOPER,UTSCOPER,MESISCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,INTERNET,EBUY,PRELN,PRELQUALIT,PRELMOTIV1,PRELMOTIV2,PRELMOTIV3,DEPOSIT,NDEPOSIT
872646,2,,,1,1,,2,,,,,,2,,,,,2,,2,,500,2,,,1,3,0,8,,,,1,2
872698,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,2,10,,,,1,1
872710,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,10,8,,,,1,1
872747,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,400,1,3,3,1,2,5,8,,,,1,1
872750,1,1,2,2,2,70,2,,,,,,2,,,,,1,1,1,1,2000,1,3,3,1,2,8,8,,,,1,2
872781,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,1200,2,,,1,2,10,8,,,,1,2
872795,,,,,,,,,,,,,2,,,,,2,,1,1,400,2,,,2,,3,6,,,,2,0
872919,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,600,2,,,2,,2,7,,,,1,1
872924,,,,1,1,,,,,,,,2,,,,,2,,2,,400,2,,,1,3,1,7,,,,1,1
873023,1,1,1,2,2,,2,,,,,,2,,,,,1,1,2,,100,2,,,2,,2,6,,,,1,2
873042,,,,,,,,,,,,,2,,,,,2,,2,,500,2,,,2,,0,6,,,,2,0
873048,2,,,2,2,65,1,2,,,,,1,2,2,,,1,2,2,,500,2,,,1,3,3,7,,,,1,2
873052,2,,,1,1,,1,2,,,,,1,2,2,,,1,2,2,,400,2,,,1,1,3,7,,,,1,1
873166,1,1,2,1,1,,1,1,12,10000,0,,1,1,2,,,1,2,2,,1000,1,3,3,1,3,2,10,,,,1,2
873674,2,,,1,1,,2,,,,,,1,1,2,,,1,2,2,,300,2,,,1,3,4,5,1,2,2,1,2
873788,2,,,2,3,70,1,2,,,,,2,,,,,1,3,2,,900,1,3,3,1,2,4,8,,,,1,3
874134,,,,,,,,,,,,,2,,,,,2,,2,,400,2,,,1,3,2,10,,,,2,0
874152,,,,1,1,,,,,,,,2,,,,,1,2,2,,500,2,,,2,,4,6,,,,1,1
874157,,,,,,,,,,,,,2,,,,,2,,2,,600,2,,,2,,1,8,,,,2,0
874163,,,,,,,,,,,,,2,,,,,2,,2,,1000,2,,,2,,2,7,,,,2,0
874168,,,,,,,,,,,,,2,,,,,2,,2,,700,2,,,1,3,2,7,,,,2,0
874213,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,1,3,3,5,2,2,1,1,1
874225,,,,1,,,,,,,,,2,,,,,2,,2,,500,2,,,2,,1,8,,,,1,1
874274,2,,,1,1,,2,,,,,,2,,,,,2,,2,,800,2,,,2,,0,7,,,,1,1
874278,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1000,2,,,1,3,5,6,,,,1,1
874294,,,,,,,,,,,,,2,,,,,2,,2,,1200,2,,,1,3,2,8,,,,2,0
874323,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,1000,2,,,2,,1,10,,,,1,1
874325,2,,,2,3,60,2,,,,,,1,2,2,,,1,3,1,1,300,1,2,3,1,2,3,8,,,,1,3
874330,2,,,1,1,,2,,,,,,1,2,2,,,1,2,1,1,1500,1,3,3,1,2,2,8,,,,1,3
874350,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,1,8,,,,1,1
874375,1,1,1,2,2,,2,,,,,,1,2,2,,,1,1,1,1,400,1,3,3,1,2,4,6,,,,1,2
874392,1,1,1,2,2,100,2,,,,,,1,1,1,,,1,1,1,1,1000,1,3,3,1,3,6,8,,,,1,2
874515,2,,,1,1,,1,2,,,,,1,2,2,,,1,3,1,2,200,1,3,3,1,2,4,10,,,,1,2
874593,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,800,1,3,3,1,3,4,7,,,,1,1
874607,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,1,3,1,7,,,,1,1
874612,2,,,1,1,,2,,,,,,2,,,,,2,,2,,800,2,,,2,,1,8,,,,1,1
874631,2,,,2,2,80,2,,,,,,2,,,,,2,,2,,300,2,,,2,,2,8,,,,1,2
874670,2,,,2,3,60,2,,,,,,1,2,2,,,1,3,2,,500,1,3,3,1,2,1,8,,,,1,3
874704,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,100,2,,,1,3,1,8,,,,1,1
874756,2,,,2,3,90,2,,,,,,1,2,3,6000,,1,3,1,1,100,1,3,3,1,2,0,1,1,1,2,1,4
874961,1,1,2,1,1,,2,,,,,,1,2,2,,,1,3,2,,2000,1,3,3,1,2,6,10,,,,1,3
875011,2,,,2,2,80,1,2,,,,,1,1,2,,,1,1,2,,300,2,,,1,3,2,8,,,,1,2
875017,1,1,1,1,1,,3,,,,,,2,,,,,2,,2,,1000,2,,,1,3,5,7,,,,1,1
875020,2,,,2,2,50,2,,,,,,1,1,2,,,1,1,2,,700,1,3,3,1,3,5,9,,,,1,2
875027,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,300,2,,,2,,3,8,,,,1,1
875028,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,2,7,,,,1,1
875088,2,,,1,1,,1,1,5,1000,0,,1,1,2,,,1,2,2,,500,1,3,3,1,2,5,8,,,,1,2
875095,2,,,1,1,,2,,,,,,1,1,2,,,1,2,1,2,300,1,3,3,1,2,2,7,,,,1,1
875096,2,,,1,1,,2,,,,,,1,2,2,,,1,2,1,2,300,1,3,3,1,2,2,7,,,,1,1
875126,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1800,1,3,3,1,2,6,9,,,,1,2
875139,2,,,2,2,70,2,,,,,,2,,,,,1,2,2,,1500,1,1,3,1,2,6,7,,,,1,2
875154,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1100,2,,,1,3,4,6,,,,1,1
875206,2,,,1,1,,2,,,,,,1,1,3,,2,1,2,2,,200,1,3,3,1,2,2,7,,,,1,1
875211,2,,,1,1,,1,2,,,,,2,,,,,1,1,1,1,150,2,,,1,2,1,9,,,,1,1
875214,2,,,1,1,,2,,,,,,2,,,,,1,4,2,,200,2,,,1,3,2,8,,,,1,2
875221,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,200,2,,,1,2,4,7,,,,1,1
875280,2,,,1,1,,2,,,,,,2,,,,,2,,2,,500,1,3,3,1,2,4,6,,,,1,1
875336,2,,,1,1,,1,2,,,,,2,,,,,2,,2,,900,2,,,2,,6,9,,,,1,1
875426,2,,,1,1,,1,1,12,3500,3500,,1,2,2,,,1,2,2,,400,1,3,3,1,2,2,8,,,,1,1
875514,2,,,2,3,35,1,2,,,,,2,,,,,1,2,1,1,500,1,3,3,1,3,2,8,,,,1,4
875523,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,100,2,,,1,3,1,10,,,,1,1
875528,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,1000,2,,,2,,1,7,,,,1,1
875542,2,,,2,2,70,2,,,,,,1,1,2,,,1,1,1,1,100,1,3,3,1,2,1,8,,,,1,2
875557,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,100,2,,,2,,1,8,,,,1,1
875562,2,,,1,1,,2,,,,,,1,1,1,,,1,1,1,1,200,2,,,1,1,2,7,,,,1,1
875577,2,,,1,1,,2,,,,,,2,,,,,2,,2,,350,2,,,2,,1,8,,,,1,1
875582,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,0,2,1,2,2,1,1
875585,2,,,1,1,,2,,,,,,1,2,2,,,1,2,1,1,400,1,3,3,1,2,2,9,,,,1,3
875635,1,1,1,1,1,,2,,,,,,1,2,2,,,1,2,1,1,300,1,3,3,1,2,0,9,,,,1,2
875654,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,2,,500,2,,,2,,2,8,,,,1,1
875686,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,500,1,3,3,1,2,2,10,,,,1,1
875851,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,1,3,1,7,,,,1,1
875855,2,,,2,2,80,1,2,,,,,1,1,2,,,1,3,1,2,100,1,3,3,1,2,1,7,,,,1,2
875909,2,,,1,1,,2,,,,,,2,,,,,2,,2,,200,2,,,2,,1,9,,,,1,1
875920,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,1,3,3,8,,,,1,1
875967,,,,1,1,,,,,,,,2,,,,,2,,2,,300,2,,,2,,1,6,,,,1,1
875969,2,,,1,1,,1,2,,,,,1,2,2,,,1,2,2,,500,1,3,3,1,2,3,8,,,,1,1
875977,1,1,2,1,1,,1,2,,,,,1,2,2,,,1,2,2,,500,1,2,3,1,2,3,8,,,,1,1
876018,,,,1,1,,,,,,,,2,,,,,2,,2,,400,2,,,2,,1,6,,,,1,1
876020,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,1,3,3,1,2,2,6,,,,1,2
876069,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,1,2,7,8,,,,1,1
876079,1,1,1,1,1,,2,,,,,,2,,,,,1,3,1,2,200,1,2,3,1,2,1,8,,,,1,3
876093,2,,,1,1,,2,,,,,,1,1,1,,,1,2,2,,300,1,3,3,1,2,4,7,,,,1,2
876115,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,2,,300,1,3,3,1,3,5,7,,,,1,2
876125,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,400,1,2,3,1,2,8,8,,,,1,4
876127,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,1,1,500,2,,,1,3,10,8,,,,1,1
876218,2,,,1,1,,2,,,,,,2,,,,,2,,2,,200,2,,,2,,0,8,,,,1,1
876272,2,,,1,1,,2,,,,,,1,1,2,,,1,1,1,1,600,1,3,3,1,2,3,9,,,,1,1
876314,2,,,1,1,,2,,,,,,1,1,2,,,1,2,2,,500,2,,,1,3,6,8,,,,1,1
876391,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,100,2,,,2,,3,6,,,,1,1
876542,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,2,8,,,,1,1
876651,,,,,,,,,,,,,2,,,,,2,,2,,900,2,,,2,,0,8,,,,2,0
876666,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1000,2,,,2,,0,2,2,2,2,1,1
876694,2,,,2,3,60,2,,,,,,1,2,2,,,1,3,1,2,500,1,2,3,1,2,2,9,,,,1,4
876729,2,,,1,1,,1,1,7,700,,1,2,,,,,1,1,1,2,300,1,3,3,1,2,10,8,,,,1,1
876820,2,,,1,1,,2,,,,,,1,1,1,,,1,1,2,,600,1,3,3,1,2,2,7,,,,1,1
876833,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,530,2,,,2,,2,8,,,,1,1
877064,1,1,1,1,1,,1,2,,,,,1,1,2,,,1,2,1,1,300,2,,,1,2,3,10,,,,1,1
877083,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,400,2,,,2,,4,9,,,,1,1
877138,2,,,2,2,90,1,2,,,,,1,1,3,,2,1,2,1,3,500,1,2,3,1,2,2,7,,,,1,3
877267,2,,,1,1,,3,,,,,,1,1,2,,,1,1,1,1,400,1,3,3,1,3,2,8,,,,1,1
877285,2,,,1,1,,1,2,,,,,1,1,1,,,1,2,1,1,300,1,3,3,1,2,1,10,,,,1,1
877407,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,200,2,,,1,3,1,9,,,,1,1
877473,2,,,1,1,,1,2,,,,,1,1,1,,,1,1,2,,1000,1,3,3,1,2,6,8,,,,1,1
877553,2,,,2,2,80,1,2,,,,,2,,,,,1,1,1,2,750,2,,,1,2,1,8,,,,1,2
877662,2,,,2,2,70,1,2,,,,,2,,,,,2,,2,,200,2,,,2,,2,8,,,,1,2
877697,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1000,2,,,1,3,4,8,,,,1,3
877752,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,700,1,3,3,1,2,5,6,,,,1,1
877828,2,,,2,2,40,2,,,,,,2,,,,,1,1,2,,1100,1,3,3,1,2,3,8,,,,1,3
877908,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,1,8,,,,1,1
878094,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,400,2,,,2,,2,8,,,,1,1
878103,2,,,2,2,60,2,,,,,,2,,,,,1,1,1,1,600,1,3,3,1,2,4,6,,,,1,2
878142,1,1,2,1,1,,2,,,,,,1,2,2,,,1,1,1,1,300,1,3,3,1,3,2,9,,,,1,3
878173,1,1,1,1,1,,1,2,,,,,1,1,2,,,1,1,2,,200,1,3,3,1,2,2,7,,,,1,1
878182,,,,,,,,,,,,,2,,,,,2,,2,,1500,2,,,1,3,0,6,,,,2,0
878218,2,,,1,1,,1,2,,,,,2,,,,,1,2,2,,700,2,,,2,,4,8,,,,1,1
878292,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,2000,2,,,1,3,3,7,,,,1,1
878309,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,360,2,,,1,2,2,7,,,,1,1
878506,1,1,1,2,2,70,2,,,,,,1,3,2,,,1,3,2,,100,1,2,3,1,2,1,6,,,,1,3
878510,1,1,1,1,1,,2,,,,,,1,1,2,,,1,1,2,,600,2,,,2,,6,8,,,,1,1
878518,2,,,1,1,,2,,,,,,1,2,2,,,1,2,2,,400,1,2,3,1,2,2,8,,,,1,2
878573,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,300,2,,,1,2,4,9,,,,1,1
878617,2,,,2,2,70,2,,,,,,1,4,2,,,1,7,2,,500,1,3,3,1,2,4,9,,,,1,7
878684,1,1,1,1,1,,2,,,,,,1,1,2,,,1,1,2,,550,2,,,2,,3,7,,,,1,1
878811,2,,,1,1,,1,2,,,,,1,1,2,,,1,3,1,1,1000,1,3,3,1,2,4,8,,,,1,2
878831,2,,,1,1,,2,,,,,,1,1,2,,,1,2,1,1,300,1,3,3,1,2,2,9,,,,1,2
878834,2,,,1,1,,2,,,,,,1,2,2,,,1,2,1,2,200,1,3,3,1,2,2,7,,,,1,1
878873,2,,,2,3,80,1,2,,,,,1,2,2,,,1,2,1,1,1000,1,3,3,1,2,7,7,,,,1,3
878883,2,,,2,2,90,2,,,,,,1,1,2,,,1,2,2,,600,2,,,2,,1,5,1,2,2,1,2
879023,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,2,8,,,,1,1
879192,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,100,2,,,2,,2,7,,,,1,1
879229,2,,,1,1,,1,2,,,,,1,1,1,,,1,1,1,1,60,1,2,3,1,2,1,9,,,,1,2
879257,2,,,2,2,95,1,2,,,,,1,2,2,,,1,2,1,1,1100,1,2,3,1,2,10,2,1,2,2,1,5
879275,2,,,2,2,70,2,,,,,,2,,,,,1,2,2,,300,2,,,1,3,3,8,,,,1,2
879319,2,,,1,1,,1,1,12,1000,0,,1,1,1,,,1,2,1,1,500,1,3,3,1,2,2,4,1,2,1,1,3
879449,2,,,2,3,80,1,2,,,,,1,1,2,,,1,3,2,,500,1,2,3,1,3,5,10,,,,1,3
879484,1,1,1,1,1,,1,1,12,12000,4000,,2,,,,,1,3,1,1,400,1,3,3,1,3,5,10,,,,1,3
879487,1,1,1,2,2,90,1,2,,,,,2,,,,,1,2,2,,300,1,2,3,1,2,1,5,1,2,1,1,2
879494,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,3,10,,,,1,1
879503,2,,,2,2,70,2,,,,,,2,,,,,1,1,2,,1200,2,,,2,,1,9,,,,1,2
879543,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,350,2,,,2,,2,6,,,,1,2
879552,2,,,1,1,,2,,,,,,2,,,,,2,,2,,600,2,,,2,,2,6,,,,1,1
879568,2,,,1,1,,1,2,,,,,1,1,1,,,2,,2,,1000,2,,,1,3,2,8,,,,1,1
879591,2,,,1,1,,2,,,,,,2,,,,,2,,2,,500,2,,,2,,2,6,,,,1,1
879620,2,,,1,1,,1,2,,,,,1,2,2,,,1,2,2,,1000,2,,,1,2,10,1,1,2,2,1,1
879743,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,100,2,,,2,,2,8,,,,1,1
879883,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,2,6,,,,1,1
879958,2,,,1,1,,1,1,3,2000,,1,1,1,1,,,1,1,2,,200,1,3,3,1,2,2,4,1,1,2,1,2
880040,2,,,1,1,,2,,,,,,1,1,2,,,1,1,1,1,100,1,3,3,1,2,4,7,,,,1,1
880072,1,1,2,2,2,80,2,,,,,,1,2,2,,,1,2,1,3,200,1,3,3,1,2,1,10,,,,1,2
880167,2,,,2,2,95,2,,,,,,1,1,1,,,1,1,1,1,300,1,3,3,1,2,10,5,1,2,2,1,2
880186,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,500,1,3,3,1,2,6,7,,,,1,1
880243,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,3,8,,,,1,1
880244,,,,1,1,,,,,,,,2,,,,,2,,2,,700,2,,,2,,3,6,,,,1,1
880252,,,,1,1,,,,,,,,2,,,,,2,,2,,700,2,,,2,,3,9,,,,1,1
880264,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1000,2,,,1,2,15,7,,,,1,1
880271,2,,,1,1,,2,,,,,,1,1,1,,,1,1,2,,700,2,,,2,,10,9,,,,1,1
880398,,,,1,1,,,,,,,,2,,,,,2,,2,,600,2,,,2,,3,3,2,1,2,1,1
880431,2,,,2,2,100,3,,,,,,1,2,2,,,1,3,2,,500,1,3,3,1,2,6,4,1,2,2,1,2
880581,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1400,2,,,1,2,5,9,,,,1,2
880827,2,,,1,1,,2,,,,,,1,1,1,,,1,1,1,1,600,1,3,3,1,2,3,7,,,,1,1
880884,2,,,2,3,40,1,2,,,,,1,1,2,,,1,2,1,1,200,1,3,2,1,3,5,7,,,,1,4
880893,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,50,1,3,3,1,2,1,8,,,,1,1
880898,2,,,2,2,80,2,,,,,,1,1,2,,,1,2,1,1,200,1,3,3,1,2,2,2,1,2,2,1,2
880911,2,,,2,3,35,1,2,,,,,1,3,2,,,1,2,1,1,200,1,3,3,1,2,1,7,,,,1,3
880912,2,,,2,2,100,1,2,,,,,1,4,2,,,1,2,2,,800,1,3,3,1,2,5,7,,,,1,2
881072,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,250,2,,,2,,2,8,,,,1,1
881095,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1000,2,,,1,3,4,9,,,,1,1
881330,2,,,1,1,,1,1,12,800,800,,2,,,,,1,1,1,1,1200,1,3,3,1,2,10,10,,,,1,1
881421,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,400,2,,,1,3,1,8,,,,1,1
881537,2,,,1,1,,3,,,,,,2,,,,,1,1,2,,200,2,,,2,,0,6,,,,1,2
881554,2,,,1,1,,1,2,,,,,2,,,,,1,1,1,1,150,2,,,1,2,5,7,,,,1,2
881561,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,250,2,,,2,,2,5,1,2,1,1,2
881587,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,400,2,,,2,,1,7,,,,1,1
881642,2,,,1,1,,2,,,,,,1,1,1,,,1,1,2,,1000,2,,,1,3,2,8,,,,1,1
881686,2,,,2,2,80,2,,,,,,1,1,1,,,1,1,2,,1000,2,,,1,2,1,6,,,,1,2
881765,2,,,2,2,70,1,2,,,,,1,1,1,,,1,1,2,,1200,2,,,1,1,4,7,,,,1,3
881809,2,,,1,1,,1,2,,,,,1,1,2,,,1,1,2,,400,1,3,3,1,3,4,8,,,,1,1
881817,2,,,1,1,,1,2,,,,,1,1,3,,1,1,2,1,3,400,1,3,3,1,2,1,6,,,,1,2
881821,2,,,1,1,,1,2,,,,,2,,,,,1,2,2,,708,1,3,3,1,3,3,7,,,,1,1
881832,2,,,1,1,,1,2,,,,,2,,,,,1,1,2,,400,2,,,2,,3,6,,,,1,1
881982,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,1000,2,,,2,,1,8,,,,1,1
881983,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,600,2,,,2,,1,8,,,,1,1
882052,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,400,2,,,1,3,5,8,,,,1,1
882053,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,2,8,,,,1,1
882057,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,1,2,4,8,,,,1,1
882066,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,600,2,,,1,3,4,8,,,,1,2
882067,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,600,2,,,2,,6,4,1,2,2,1,2
882091,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,300,1,2,3,1,2,5,7,,,,1,1
882109,,,,,,,,,,,,,2,,,,,2,,1,1,200,2,,,1,3,2,8,,,,2,0
882114,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,3,7,,,,1,1
882143,,,,,,,,,,,,,2,,,,,2,,1,1,500,2,,,1,2,1,6,,,,2,0
882159,2,,,1,1,,2,,,,,,2,,,,,2,,2,,800,2,,,2,,1,8,,,,1,1
882203,2,,,2,2,50,2,,,,,,2,,,,,1,2,2,,700,2,,,1,2,4,9,,,,1,2
882286,2,,,1,1,,2,,,,,,1,1,1,,,1,2,1,1,400,2,,,1,3,5,6,,,,1,1
882314,,,,,,,,,,,,,2,,,,,2,,2,,1200,2,,,1,3,0,10,,,,2,0
882449,,,,,,,,,,,,,2,,,,,2,,2,,600,2,,,2,,1,6,,,,2,0
882470,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,900,2,,,2,,2,7,,,,1,2
882515,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,700,2,,,2,,1,1,1,2,1,1,2
882537,1,2,2,2,2,95,4,,,,,,1,3,1,,,1,2,1,1,500,1,3,3,1,2,3,9,,,,1,4
882556,2,,,1,1,,2,,,,,,1,1,2,,,1,2,2,,600,1,2,3,1,3,1,10,,,,1,1
882573,2,,,1,1,,3,,,,,,1,1,2,,,1,1,2,,300,1,3,3,1,3,5,9,,,,1,1
882585,2,,,1,1,,1,2,,,,,2,,,,,1,2,2,,400,1,3,3,1,2,3,7,,,,1,2
882593,2,,,1,1,,1,2,,,,,1,1,2,,,1,2,2,,800,1,3,3,1,2,3,8,,,,1,1
882618,2,,,2,2,70,1,2,,,,,1,2,2,,,1,2,1,1,200,1,3,3,1,2,2,7,,,,1,2
882635,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,200,2,,,1,3,1,7,,,,1,1
882654,2,,,1,1,,1,2,,,,,2,,,,,1,2,2,,150,1,3,3,1,2,2,4,1,2,2,1,1
882723,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,250,1,3,3,1,2,2,8,,,,1,1
882739,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,1,9,,,,1,1
882745,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,300,2,,,2,,3,9,,,,1,1
882962,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,1,10,,,,1,1
882978,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,1500,2,,,1,3,4,8,,,,1,2
883157,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,350,2,,,2,,5,10,,,,1,1
883225,2,,,2,3,70,1,2,,,,,1,1,2,,,1,2,2,,1200,2,,,1,2,4,8,,,,1,3
883322,1,1,2,1,1,,2,,,,,,1,1,2,,,1,3,2,,450,1,3,3,1,1,4,8,,,,1,2
883343,1,1,1,1,1,,2,,,,,,2,,,,,1,1,2,,700,2,,,2,,3,10,,,,1,1
883382,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,400,2,,,2,,1,10,,,,1,1
883392,2,,,1,1,,2,,,,,,1,1,2,,,1,3,1,1,400,1,3,3,1,2,4,9,,,,1,2
883500,2,,,2,3,50,1,2,,,,,2,,,,,1,4,1,1,300,1,3,3,1,2,10,7,,,,1,3
883588,2,,,1,1,,2,,,,,,1,1,2,,,1,3,1,1,400,1,3,3,1,2,4,7,,,,1,2
883642,2,,,1,1,,1,2,,,,,1,2,2,,,1,2,2,,400,2,,,1,3,5,8,,,,1,2
883754,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,100,1,3,3,1,3,1,6,,,,1,1
883762,2,,,2,2,90,3,,,,,,2,,,,,1,3,1,1,800,2,,,1,2,2,10,,,,1,2
883787,2,,,1,1,,2,,,,,,2,,,,,1,2,2,,500,2,,,1,3,3,9,,,,1,2
883789,2,,,2,2,80,2,,,,,,2,,,,,1,1,2,,200,2,,,1,3,1,7,,,,1,2
883988,1,1,2,2,2,90,1,2,,,,,1,1,1,,,1,2,1,1,400,1,3,3,1,2,3,10,,,,1,2
883990,1,1,2,2,2,70,1,2,,,,,2,,,,,1,2,1,1,300,1,3,3,1,2,3,10,,,,1,2
884032,2,,,1,1,,2,,,,,,1,1,2,,,1,1,2,,150,1,3,3,2,,2,10,,,,1,1
884033,2,,,1,1,,3,,,,,,2,,,,,1,2,2,,400,2,,,1,3,5,9,,,,1,1
884038,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1000,2,,,2,,0,5,1,1,2,1,1
884053,2,,,1,1,,2,,,,,,1,1,2,,,1,2,2,,500,2,,,1,2,4,10,,,,1,2
884122,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,800,2,,,2,,2,8,,,,1,1
884269,2,,,1,1,,2,,,,,,2,,,,,2,,2,,600,2,,,2,,0,8,,,,1,1
884279,2,,,1,1,,3,,,,,,1,1,1,,,2,,2,,1200,2,,,2,,5,9,,,,1,1
884294,2,,,1,1,,2,,,,,,2,,,,,2,,2,,1000,2,,,2,,1,8,,,,1,1
884440,1,1,2,2,2,50,1,1,12,5000,5000,,1,2,2,,,1,3,2,,1500,1,3,3,1,2,5,10,,,,1,2
884570,2,,,1,1,,2,,,,,,2,,,,,2,,1,2,500,1,3,3,1,3,2,7,,,,1,1
884680,2,,,2,2,8,2,,,,,,2,,,,,1,2,2,,1000,2,,,2,,2,8,,,,1,2
884685,1,1,2,1,1,,1,1,12,1700,,1,1,2,2,,,1,3,1,1,1000,1,3,3,1,2,7,8,,,,1,4
884867,,,,,,,,,,,,,2,,,,,2,,1,1,100,2,,,2,,0,7,,,,2,0
884972,1,1,1,2,2,100,4,,,,,,1,1,1,,,1,2,1,1,300,1,3,3,1,1,5,6,,,,1,3
884983,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,1000,2,,,1,3,2,10,,,,1,1
885025,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,500,2,,,2,,4,7,,,,1,1
885037,2,,,1,1,,1,2,,,,,1,1,2,,,2,,1,1,200,1,3,3,1,2,2,8,,,,1,1
885045,2,,,1,1,,2,,,,,,2,,,,,1,2,1,1,600,1,3,3,1,2,10,8,,,,1,2
885047,2,,,1,1,,2,,,,,,2,,,,,1,1,1,1,500,1,2,3,1,2,3,9,,,,1,1
885062,2,,,2,2,70,2,,,,,,1,1,1,,,1,1,1,1,250,1,3,3,1,2,2,9,,,,1,2
885077,2,,,1,1,,2,,,,,,2,,,,,1,1,2,,750,1,3,3,1,3,5,7,,,,1,2
