NQUEST,ASS2NEW1,ASS2NEW2,ASS2NEW3,ASS2NEW4,ASS2NEW5,ASS2NEW6,ASS1NEW1,ASS1NEW2,ASS1NEW3,ASS1NEW4,ASS1NEW5,ASS1NEW6,ASS4,ASS4S,ASS31,ASS3S1,ASS32,ASS3S2,ASS33,ASS3S3,DOCSEZF
673467,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
673540,,1,,,,,2,2,,,,,2,,1,560,1,360,2,,2
673661,,,,,,,2,2,,,,,2,,1,500,2,,2,,2
673816,,,,,,,2,2,,,,,2,,1,200,2,,2,,2
673847,,2,,,,,2,2,,,,,2,,2,,2,,2,,2
673882,1,2,2,1,,,2,2,2,2,,,2,,2,,2,,2,,2
673963,,,,,,,2,,,,,,2,,2,,2,,2,,2
674019,,2,,,,,2,1,,,,,1,100,2,,2,,2,,1
674105,2,1,,,,,2,2,,,,,2,,1,470,2,,2,,2
674106,2,,,,,,2,,,,,,2,,2,,1,200,2,,2
674196,,2,,,,,2,2,,,,,2,,1,700,1,350,2,,2
674229,2,2,2,,,,2,2,2,,,,2,,2,,2,,2,,2
674239,2,2,,,,,2,2,,,,,2,,2,,2,,2,,2
674281,2,,2,,,,2,2,2,,,,2,,1,800,2,,2,,2
674283,,,,,,,2,,,,,,2,,2,,2,,2,,2
674287,,2,,,,,2,2,,,,,2,,1,240,2,,2,,2
674379,2,2,2,2,2,,2,2,2,2,2,,2,,1,380,2,,2,,2
674440,,,,,,,2,2,,,,,2,,1,450,1,200,2,,2
674572,2,,,,,,2,,,,,,2,,2,,2,,2,,2
674800,2,,,,,,2,2,,,,,1,360,2,,2,,2,,2
674815,,1,,,,,2,1,,,,,2,,1,800,1,350,2,,1
674842,2,2,2,2,,,1,2,2,2,,,2,,1,500,2,,2,,2
674868,1,2,2,2,,,2,1,2,2,2,,2,,1,1000,2,,2,,2
674869,1,2,1,,,,2,2,2,,,,2,,1,600,1,400,2,,2
674968,,2,2,,,,2,2,2,,,,2,,1,450,2,,2,,2
674970,2,,2,,,,2,2,2,,,,2,,1,500,2,,2,,2
674974,,2,,,,,2,2,,,,,2,,1,500,2,,2,,2
675086,,,,,,,1,,,,,,2,,1,800,1,400,2,,2
675265,2,,2,,,,2,2,2,,,,2,,1,1500,2,,2,,2
675280,2,2,2,2,,,2,2,2,2,,,2,,1,1000,2,,2,,2
675334,2,2,2,,,,2,2,2,2,,,2,,1,1000,2,,2,,2
675667,2,,,,,,2,,,,,,2,,2,,2,,2,,2
675739,,,,,,,2,,,,,,2,,1,500,1,300,2,,2
