NQUEST,nord,INTPER,nattivita,TUTTANNO,MESILAV,DOVELAV,ORARIO,ORETOT,FATLOR,YM
934140,2,1,1,3,,1,1,20,1000,800
934312,3,1,1,3,,2,1,5,500,400
934411,1,1,1,1,,2,1,10,10000,6000
935001,1,1,1,1,,2,1,20,15000,8000
935007,2,1,1,3,,2,2,40,4000,2000
935636,1,1,1,2,3,2,2,15,1000,1000
935906,1,1,1,3,,2,1,48,10000,5000
936513,2,1,1,1,,2,2,42,35000,19000
937024,3,3,1,1,,1,1,40,15000,13000
937120,3,2,1,1,,1,1,45,4500,4500
937358,1,1,1,1,,1,1,50,24000,16500
937371,1,1,1,3,,2,2,1,1500,1200
937371,1,1,2,3,,2,1,1,2500,2000
937990,3,1,1,3,,2,2,10,2000,1200
938292,1,1,1,1,,2,2,18,3500,3500
938652,2,2,1,1,,2,2,4,3600,2600
939190,2,1,1,2,3,2,1,5,4900,3500
939315,1,1,1,1,,1,1,30,850000,637500
939523,3,1,1,3,,3,1,10,5000,3000
939963,1,1,1,3,,2,2,1,2500,1500
940047,4,1,1,3,,2,3,8,12000,10000
940050,2,1,1,3,,2,1,20,10000,6000
940400,2,1,1,2,8,1,1,30,18000,10000
940400,2,1,2,2,8,1,1,30,9000,4000
940639,1,1,1,3,,2,2,25,22000,18000
940643,1,1,1,1,,1,2,10,60000,41000
940643,1,1,2,1,,1,2,6,86000,49000
940643,1,1,3,1,,1,2,4,16000,12000
940663,1,1,1,1,,2,2,40,12000,11000
940663,2,1,1,1,,2,2,30,14000,12000
940663,3,1,1,1,,2,2,20,6000,5000
940663,4,1,1,1,,2,2,30,10000,8000
941084,2,1,1,1,,2,1,24,15000,10000
941084,4,1,1,1,,2,1,24,7000,7000
941244,1,1,1,3,,1,1,2,4000,3000
941244,1,1,2,3,,1,1,1,2000,1000
942056,1,1,1,1,,1,1,40,16000,14000
942057,2,1,1,2,10,2,2,40,50000,50000
942099,3,1,1,3,,2,2,40,18000,15000
943121,3,1,1,1,,2,2,35,3600,3600
943694,1,1,1,1,,2,2,36,15000,10000
943973,1,1,1,1,,3,3,50,40000,35000
944067,1,1,1,2,10,2,2,38,30000,20000
944514,3,1,1,3,,3,3,1,1600,1600
944673,1,1,1,2,5,1,1,10,3000,2500
944695,2,1,1,1,,3,1,30,45000,15000
945503,1,1,1,1,,1,1,65,8000,8000
945779,1,1,1,2,5,1,1,10,8000,5500
945812,1,1,1,1,,1,1,5,8500,6000
946015,3,1,1,2,9,1,1,24,11000,9000
946683,2,2,1,2,8,1,1,30,4000,800
947801,1,1,1,1,,2,2,16,8000,6000
947803,1,1,1,1,,2,1,2,90000,50000
947955,1,1,1,3,,1,1,1,3000,1500
948028,4,1,1,3,,1,1,5,2000,1500
948093,1,1,1,1,,1,1,40,2000,1600
948395,2,1,1,3,,1,1,25,45000,28000
948459,1,1,1,2,6,2,2,15,9000,7000
949089,2,1,1,3,,2,2,2,720,576
949089,3,1,1,2,4,2,1,20,2400,1900
949246,4,1,1,3,,2,2,30,3800,3200
949363,3,1,1,1,,2,2,40,5700,4600
949372,2,1,1,1,,2,2,30,10800,8600
949682,1,1,1,1,,1,3,60,118000,72000
951397,1,1,1,3,,1,1,20,15000,12000
951685,4,1,1,3,,3,1,2,500,100
951866,1,1,1,1,,1,1,1,2000,2000
951866,2,1,1,2,2,1,1,1,500,400
952104,1,1,1,3,,3,3,2,10000,5000
952228,2,1,1,3,,1,1,5,1000,1000
953013,2,1,1,1,,1,2,50,0,0
953340,3,1,1,3,,1,2,23,500,500
953599,2,1,1,3,,3,3,20,10000,5000
953897,2,1,1,3,,2,2,4,5000,4000
954964,2,1,1,3,,2,2,2,1000,700
955274,1,1,1,2,7,1,1,4,4800,3840
955322,1,1,1,1,,1,1,30,6000,4500
955361,1,1,1,1,,1,1,20,18000,12000
955373,2,1,1,1,,1,1,30,15000,10000
955753,3,2,1,3,,2,2,4,3000,3000
956807,1,1,1,2,3,1,2,18,1500,1500
957616,1,1,1,2,10,2,2,25,12000,9600
957799,2,1,1,3,,1,1,1,0,0
957973,2,1,1,1,,2,2,40,20000,-10000
958003,2,1,1,3,,3,2,20,8000,6000
958114,1,1,1,2,7,2,2,1,0,0
960112,1,1,1,1,,2,2,24,12000,10000
960254,1,1,1,2,8,2,2,18,6000,5000
960682,1,1,1,3,,1,1,1,55000,30000
960747,2,2,1,2,4,1,1,40,2500,2000
960747,2,2,2,2,4,1,1,40,2500,2200
960863,1,1,1,1,,1,2,8,100,80
960863,1,1,2,1,,1,2,4,100,70
961474,1,1,1,2,1,1,1,4,2132,1400
961600,2,1,1,1,,2,2,36,24000,19000
963653,1,1,1,3,,2,2,20,500,380
963653,1,1,2,3,,2,2,20,500,380
