NQUEST,nord,INTPER,CASD,CIGRED,CIGMESI,CIGORE,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
913950,1,1,,,,,,,,,,,,2,,1,3000,2,,,,,,,,,,,,,
914144,1,,,,,,,,,,,,,2,,1,620,2,,,,,,,,,,,,,
914421,3,1,1,2,,,600,2,,2,,2,,,,,,,,,,,,,,,,,,,
914633,2,1,1,1,8,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
914646,1,1,1,1,3,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
914699,1,1,1,1,2,36,,2,,2,,2,,,,,,,,,,,,,,,,,,,
914706,1,1,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
914715,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,1800,2,,2,
914763,1,,1,1,1,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
914801,3,1,1,1,7,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
914914,3,2,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
915099,1,1,,,,,,,,,,,,2,,2,,1,34000,,,,,,,,,,,,
915578,1,2,1,1,12,32,,2,,2,,2,,,,,,,,,,,,,,,,,,,
915897,3,1,1,1,2,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
915897,4,1,1,1,2,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
916929,1,1,1,1,6,40,,2,,2,,2,,,,,,,,,,,,,,,,,,,
916989,1,,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
917152,1,1,,,,,,,,,,,,2,,1,1500,2,,,,,,,,,,,,,
917225,3,2,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
917227,1,1,1,1,3,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
917276,1,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,7200
917295,1,1,1,2,,,2250,2,,2,,2,,,,,,,,,,,,,,,,,,,
917295,2,2,2,,,,,2,,2,,1,38000,,,,,,,,,,,,,,,,,,
917297,3,3,1,2,,,3500,2,,2,,2,,,,,,,,,,,,,,,,,,,
917300,1,,1,2,,,3000,2,,2,,2,,,,,,,,,,,,,,,,,,,
917301,2,1,1,2,,,1400,2,,2,,2,,,,,,,,,,,,,,,,,,,
917390,1,,1,2,,,5280,2,,2,,2,,,,,,,,,,,,,,,,,,,
917402,1,1,1,2,,,2100,2,,2,,2,,,,,,,,,,,,,,,,,,,
917794,2,2,1,1,1,96,,2,,2,,1,3000,,,,,,,,,,,,,,,,,,
917804,4,3,2,,,,,2,,1,800,2,,,,,,,,,,,,,,,,,,,
917942,1,,1,1,1,80,,2,,1,3000,1,11000,,,,,,,,,,,,,,,,,,
917964,1,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
917964,3,1,,,,,,,,,,,,,,,,,,1,400,2,,2,,2,,2,,2,
918287,3,1,1,2,,,4800,2,,2,,2,,,,,,,,,,,,,,,,,,,
918303,1,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
918303,2,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
918443,1,,2,,,,,2,,1,500,2,,,,,,,,,,,,,,,,,,,
918455,1,,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
918464,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,1600,2,,2,,2,
918464,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
918616,2,2,,,,,,,,,,,,1,2100,2,,2,,,,,,,,,,,,,
918694,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,600,2,,2,,2,
918702,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
918820,2,1,2,,,,,2,,1,2300,2,,,,,,,,,,,,,,,,,,,
918931,1,,1,2,,,2800,2,,2,,2,,,,,,,,,,,,,,,,,,,
918936,1,1,1,2,,,1300,2,,2,,2,,,,,,,,,,,,,,,,,,,
918960,1,,2,,,,,2,,1,1700,2,,,,,,,,,,,,,,,,,,,
919039,2,1,1,2,,,3000,2,,2,,2,,,,,,,,,,,,,,,,,,,
919100,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
919278,1,1,1,2,,,180,2,,2,,2,,,,,,,,,,,,,,,,,,,
919316,3,1,1,1,3,40,,2,,2,,2,,,,,,,,,,,,,,,,,,,
919324,2,2,1,2,,,800,2,,2,,2,,,,,,,,,,,,,,,,,,,
919370,1,1,1,1,2,40,,1,4200,2,,2,,,,,,,,,,,,,,,,,,,
919374,1,2,,,,,,,,,,,,1,5900,1,300,2,,,,,,,,,,,,,
919492,1,,1,1,12,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
919500,1,,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
919686,2,1,1,2,,,800,2,,2,,2,,,,,,,,,,,,,,,,,,,
919726,3,1,1,1,1,150,,2,,2,,2,,,,,,,,,,,,,,,,,,,
919727,3,1,1,2,,,900,2,,2,,2,,,,,,,,,,,,,,,,,,,
919727,4,1,1,1,2,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
919731,1,1,1,2,,,500,2,,2,,2,,,,,,,,,,,,,,,,,,,
919741,1,1,1,1,1,80,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,
919741,2,1,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
919762,1,1,1,1,3,64,,2,,2,,2,,,,,,,,,,,,,,,,,,,
919828,1,1,,,,,,,,,,,,2,,1,1200,2,,,,,,,,,,,,,
920177,3,2,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
920226,2,2,1,2,,,1700,2,,2,,2,,,,,,,,,,,,,,,,,,,
920226,3,2,1,2,,,2300,2,,2,,2,,,,,,,,,,,,,,,,,,,
920390,2,1,,,,,,,,,,,,1,20000,2,,2,,,,,,,,,,,,,
920815,1,,,,,,,,,,,,,2,,2,,1,150,,,,,,,,,,,,
920826,2,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
920911,3,1,1,1,6,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
921005,2,1,1,1,4,170,,2,,1,4200,1,1500,,,,,,,,,,,,,,,,,,
921009,2,1,1,1,12,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
921721,1,1,1,1,10,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
922290,1,1,1,2,,,300,2,,2,,2,,,,,,,,,,,,,,,,,,,
922588,1,,,,,,,,,,,,,,,,,,,2,,1,1200,2,,2,,2,,2,
922629,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
922629,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,800,2,,2,,2,
922640,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,3000,1,8000,2,,2,
922640,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
922708,4,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
922726,3,2,2,,,,,2,,1,6000,2,,,,,,,,,,,,,,,,,,,
922892,3,1,,,,,,,,,,,,1,280,2,,2,,,,,,,,,,,,,
922999,1,1,1,2,,,4950,2,,2,,2,,,,,,,,,,,,,,,,,,,
923447,3,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
923530,1,1,1,2,,,400,2,,2,,2,,,,,,,,,,,,,,,,,,,
923530,2,1,1,1,2,144,,2,,2,,2,,,,,,,,,,,,,,,,,,,
923630,1,1,,,,,,,,,,,,2,,2,,1,300,,,,,,,,,,,,
923977,2,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
923987,3,1,,,,,,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,
923991,1,,2,,,,,2,,1,400,2,,,,,,,,,,,,,,,,,,,
924005,1,1,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
924264,4,1,2,,,,,2,,1,500,2,,,,,,,,,,,,,,,,,,,
924290,1,1,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
924310,1,1,,,,,,,,,,,,1,5500,2,,2,,,,,,,,,,,,,
924323,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
924324,1,1,2,,,,,2,,1,1000,2,,,,,,,,,,,,,,,,,,,
924324,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,500
924324,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
924509,2,2,,,,,,,,,,,,1,2000,1,500,2,,,,,,,,,,,,,
924513,2,1,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
924606,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,350,2,,2,
924619,3,1,,,,,,,,,,,,1,287,2,,2,,,,,,,,,,,,,
924676,1,1,,,,,,,,,,,,,,,,,,2,,1,1200,2,,2,,2,,2,
924676,2,1,,,,,,,,,,,,,,,,,,1,1200,1,5000,2,,2,,2,,2,
924701,1,,,,,,,,,,,,,2,,1,6000,2,,,,,,,,,,,,,
924793,1,1,1,2,,,1000,2,,2,,2,,,,,,,,,,,,,,,,,,,
924794,2,1,1,1,4,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
925117,1,1,2,,,,,2,,1,2000,2,,2,,2,,2,,,,,,,,,,,,,
925759,1,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
925759,2,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
926423,1,1,,,,,,,,,,,,1,4500,2,,2,,,,,,,,,,,,,
926676,2,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
926950,1,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
927023,2,2,1,1,1,120,,2,,2,,2,,1,600,2,,2,,,,,,,,,,,,,
927108,1,1,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
927111,1,1,1,1,1,40,,2,,2,,2,,,,,,,,,,,,,,,,,,,
927111,2,1,1,1,1,40,,2,,2,,2,,2,,2,,1,500,,,,,,,,,,,,
927117,2,1,1,1,2,160,,2,,2,,1,6000,,,,,,,,,,,,,,,,,,
927250,1,,2,,,,,2,,1,4500,2,,,,,,,,,,,,,,,,,,,
927473,1,,1,1,12,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
927654,1,1,1,2,,,4800,2,,2,,2,,,,,,,,,,,,,,,,,,,
927669,1,,2,,,,,2,,1,2800,2,,,,,,,,,,,,,,,,,,,
927802,1,1,1,2,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
927910,1,,,,,,,,,,,,,1,5500,2,,2,,,,,,,,,,,,,
927941,1,,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
928034,1,2,,,,,,,,,,,,2,,1,700,2,,,,,,,,,,,,,
928117,1,,2,,,,,2,,2,,1,2500,,,,,,,,,,,,,,,,,,
928158,2,1,1,1,8,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
928158,4,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
928174,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
928174,2,1,1,1,3,240,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,
928253,3,1,,,,,,,,,,,,,,,,,,1,1200,2,,2,,2,,2,,2,
928253,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
928261,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,1000
928261,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
928261,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
928339,1,,1,1,3,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
928342,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
928342,2,2,,,,,,,,,,,,2,,1,200,2,,,,,,,,,,,,,
928363,1,1,1,2,,,800,2,,2,,2,,,,,,,,,,,,,,,,,,,
928391,1,1,1,2,,,690,2,,2,,2,,,,,,,,,,,,,,,,,,,
928392,2,1,,,,,,,,,,,,,,,,,,2,,1,1000,2,,2,,2,,2,
930014,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,900,2,,2,,2,
930014,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,700,2,,2,,2,
930279,1,1,1,,,,600,2,,2,,2,,,,,,,,,,,,,,,,,,,
930279,3,1,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
930498,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,1800,2,,2,
930571,1,1,1,1,4,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
930571,3,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
930577,3,1,,,,,,,,,,,,2,,1,1000,2,,,,,,,,,,,,,
930577,5,1,,,,,,,,,,,,2,,1,1000,2,,,,,,,,,,,,,
930722,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,3500,2,,2,,2,
930724,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,1600,2,,2,,2,
930724,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,1300,2,,2,,2,
930725,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,1800,2,,2,,2,
930793,3,1,,,,,,,,,,,,,,,,,,1,15000,2,,2,,2,,2,,2,
930845,1,,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
930938,3,1,,,,,,,,,,,,1,250,2,,2,,,,,,,,,,,,,
930947,1,1,1,1,4,6,,2,,2,,2,,,,,,,,,,,,,,,,,,,
930947,3,1,1,1,4,16,,2,,2,,2,,,,,,,,,,,,,,,,,,,
930981,1,1,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
930988,4,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
931037,2,1,,,,,,,,,,,,1,8400,2,,2,,,,,,,,,,,,,
931037,3,1,,,,,,,,,,,,1,8400,2,,2,,2,,2,,1,700,2,,2,,2,
931153,3,1,1,1,6,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
931285,2,1,,,,,,,,,,,,1,14400,2,,2,,,,,,,,,,,,,
931323,3,1,,,,,,,,,,,,,,,,,,1,170,2,,1,150,2,,2,,2,
931377,1,1,1,1,9,80,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,
931418,1,1,,,,,,,,,,,,1,540,2,,2,,,,,,,,,,,,,
931563,2,1,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
931563,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
931563,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
931565,2,1,1,1,1,5,,2,,2,,2,,,,,,,,,,,,,,,,,,,
931610,1,1,1,2,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
931624,1,1,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
931688,2,1,1,1,3,24,,2,,2,,2,,,,,,,,,,,,,,,,,,,
931768,3,1,,,,,,,,,,,,,,,,,,1,1000,2,,1,500,2,,2,,2,
931906,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
932131,2,1,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
932160,3,1,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
932412,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,6000,2,,2,
932577,2,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
932611,2,1,2,,,,,2,,1,7000,2,,,,,,,,,,,,,,,,,,,
932707,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,4000
932721,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,5200,2,,2,
933036,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,25000
933036,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,49000
933346,1,,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
933366,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,7500,2,,2,
933580,1,,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
933774,2,2,1,1,1,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
933934,2,1,1,1,9,28,,2,,2,,2,,,,,,,,,,,,,,,,,,,
934140,3,1,,,,,,,,,,,,,,,,,,1,14000,2,,2,,2,,2,,2,
934280,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,10000
934280,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,10000
934301,1,,,,,,,,,,,,,2,,1,6600,2,,,,,,,,,,,,,
934324,1,1,1,2,,,12000,2,,2,,2,,,,,,,,,,,,,,,,,,,
934350,2,2,1,1,2,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
934365,1,1,,,,,,,,,,,,1,1600,2,,2,,,,,,,,,,,,,
934400,2,1,1,1,4,112,,2,,2,,2,,,,,,,,,,,,,,,,,,,
934406,1,1,,,,,,,,,,,,,,,,,,2,,1,6000,2,,1,900,2,,2,
934443,1,,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
934524,1,2,1,1,3,170,,2,,2,,2,,1,3000,2,,2,,,,,,,,,,,,,
934524,2,2,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
934551,1,,1,1,1,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
934764,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
934815,2,1,1,2,,,800,2,,2,,2,,,,,,,,,,,,,,,,,,,
934904,1,1,1,1,1,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
934921,1,4,1,1,2,8,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935001,3,1,1,1,2,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935023,3,1,,,,,,,,,,,,,,,,,,1,250,2,,2,,2,,2,,2,
935045,2,1,1,1,3,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935054,1,1,,,,,,,,,,,,2,,2,,1,50,,,,,,,,,,,,
935208,3,1,,,,,,,,,,,,,,,,,,1,14000,2,,2,,2,,2,,2,
935208,4,1,,,,,,,,,,,,,,,,,,1,11000,2,,2,,2,,2,,2,
935274,3,1,1,1,1,180,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935445,1,1,1,1,2,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935445,2,2,1,1,1,110,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935905,2,1,,,,,,,,,,,,2,,1,300,2,,,,,,,,,,,,,
935940,2,1,1,1,1,10,,2,,2,,2,,,,,,,,,,,,,,,,,,,
935943,1,,,,,,,,,,,,,,,,,,,1,1250,1,6000,2,,2,,2,,2,
936427,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,6000,2,,2,
936454,1,,1,1,1,1,,2,,2,,2,,,,,,,,,,,,,,,,,,,
936751,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,12500
936803,1,1,1,1,12,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
936803,2,1,1,1,12,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
936872,2,1,1,1,6,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
936875,1,1,1,1,4,100,,2,,2,,2,,,,,,,,,,,,,,,,,,,
937056,2,1,1,2,,,5400,2,,2,,2,,,,,,,,,,,,,,,,,,,
937056,3,1,2,,,,,2,,1,2800,2,,,,,,,,,,,,,,,,,,,
937332,2,1,1,2,,,3250,2,,2,,2,,,,,,,,,,,,,,,,,,,
937375,1,1,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,
937485,1,1,1,1,12,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
937608,1,1,,,,,,,,,,,,2,,2,,1,1000,,,,,,,,,,,,
937608,3,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
937630,1,1,1,2,,,5200,2,,2,,2,,,,,,,,,,,,,,,,,,,
937630,2,1,1,2,,,4800,2,,2,,2,,,,,,,,,,,,,,,,,,,
937725,1,,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
938021,1,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
938112,3,1,1,,,,12000,2,,2,,2,,,,,,,,,,,,,,,,,,,
938181,1,1,1,1,6,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
938181,2,1,1,1,6,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
938292,1,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
938292,3,1,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
938443,3,1,,,,,,,,,,,,,,,,,,1,380,2,,2,,2,,2,,2,
938592,1,1,,,,,,,,,,,,1,3800,2,,2,,,,,,,,,,,,,
938656,2,1,1,,,,12000,2,,2,,2,,,,,,,,,,,,,,,,,,,
938658,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
938679,1,1,,,,,,,,,,,,2,,2,,1,40000,,,,,,,,,,,,
938784,1,,,,,,,,,,,,,,,,,,,2,,1,12000,1,1000,2,,2,,2,
938784,2,,,,,,,,,,,,,,,,,,,2,,2,,1,700,2,,2,,2,
939035,2,2,1,1,5,60,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939071,3,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
939156,1,1,1,1,1,40,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939156,2,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
939180,1,1,1,2,,,4000,2,,2,,2,,,,,,,,,,,,,,,,,,,
939260,2,1,2,,,,,2,,1,8000,2,,,,,,,,,,,,,,,,,,,
939266,4,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
939266,5,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
939282,1,1,1,1,3,40,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939282,2,1,1,1,2,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939347,2,1,1,1,2,30,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939363,1,,1,1,3,15,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939390,1,1,,,,,,,,,,,,2,,2,,2,,2,,1,12000,2,,2,,2,,2,
939424,2,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
939691,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
939691,3,2,1,1,4,25,,2,,2,,2,,,,,,,,,,,,,,,,,,,
939808,1,,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
939868,1,2,1,1,9,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
940241,1,,1,1,6,15,,2,,2,,2,,,,,,,,,,,,,,,,,,,
940274,1,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
940308,1,1,1,1,4,50,,2,,2,,2,,1,2000,2,,2,,,,,,,,,,,,,
940354,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,100
940354,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,100
940400,1,1,1,1,3,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
940663,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
940743,1,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
940932,2,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
941310,1,1,1,2,,,500,2,,2,,2,,1,500,2,,2,,,,,,,,,,,,,
941310,3,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
941926,1,,1,2,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
942001,1,1,1,,,,500,2,,2,,2,,,,,,,,,,,,,,,,,,,
942057,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
942196,1,,,,,,,,,,,,,2,,1,100,2,,,,,,,,,,,,,
942334,2,1,,,,,,,,,,,,1,250,2,,2,,,,,,,,,,,,,
942614,4,1,1,1,2,36,,2,,2,,2,,,,,,,,,,,,,,,,,,,
942712,2,2,,,,,,,,,,,,1,11700,2,,2,,,,,,,,,,,,,
942808,3,2,,,,,,,,,,,,1,960,2,,2,,,,,,,,,,,,,
942815,2,1,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
942815,3,1,,,,,,,,,,,,1,10000,2,,2,,,,,,,,,,,,,
943241,1,2,1,1,3,8,,2,,2,,2,,,,,,,,,,,,,,,,,,,
943280,2,1,,,,,,,,,,,,2,,1,1100,2,,,,,,,,,,,,,
943694,1,1,2,,,,,2,,1,6000,2,,,,,,,,,,,,,,,,,,,
943901,1,1,2,,,,,2,,1,9600,2,,,,,,,,,,,,,,,,,,,
944083,1,,2,,,,,2,,1,2800,2,,,,,,,,,,,,,,,,,,,
944089,1,1,,,,,,,,,,,,1,2280,2,,2,,,,,,,,,,,,,
944335,1,,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
944348,2,1,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
944348,3,1,1,2,,,2200,2,,2,,2,,,,,,,,,,,,,,,,,,,
944383,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
944415,2,2,1,1,4,60,,2,,2,,2,,,,,,,,,,,,,,,,,,,
944425,1,,1,2,,,100,2,,2,,2,,,,,,,,,,,,,,,,,,,
944498,1,1,1,2,,,500,2,,2,,2,,,,,,,,,,,,,,,,,,,
944514,1,1,1,1,1,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
944585,1,1,1,2,,,2500,2,,2,,2,,,,,,,,,,,,,,,,,,,
944585,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
944585,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
944620,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
944666,3,2,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
944730,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
944730,5,1,,,,,,,,,,,,,,,,,,2,,1,600,2,,2,,2,,2,
944827,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
944827,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
944953,2,1,1,1,3,20,,2,,2,,2,,,,,,,,,,,,,,,,,,,
944980,1,1,1,1,7,220,,2,,2,,2,,,,,,,,,,,,,,,,,,,
945001,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
945001,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,100,2,,2,,2,
945003,3,1,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
945004,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
945004,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
945035,2,3,1,1,9,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
945054,2,1,2,,,,,2,,1,1200,2,,,,,,,,,,,,,,,,,,,
945056,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,500
945058,1,1,,,,,,,,,,,,2,,1,1000,2,,,,,,,,,,,,,
