NQUEST,nord,INTPER,CASD,CIGRED,CIGMESI,CIGORE,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
510345,2,1,,,,,,,,,,,,,,,,,,2,,1,300,1,100,2,,2,,2,
510345,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,250,2,,2,,2,
510433,1,1,2,,,,,2,,1,3600,2,,,,,,,,,,,,,,,,,,,
512517,1,1,2,,,,,2,,2,,1,1000,,,,,,,,,,,,,,,,,,
512784,3,1,,,,,,,,,,,,,,,,,,1,220,2,,2,,2,,2,,2,
512784,4,1,,,,,,,,,,,,,,,,,,1,180,2,,2,,2,,2,,2,
512784,5,1,,,,,,,,,,,,,,,,,,1,260,2,,2,,2,,2,,2,
615399,3,1,1,2,,,5000,2,,2,,2,,,,,,,,,,,,,,,,,,,
621773,3,1,1,1,12,120,,2,,2,,2,,,,,,,,,,,,,,,,,,,
623305,1,1,2,,,,,2,,1,12000,2,,,,,,,,,,,,,,,,,,,
631306,6,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
635112,3,1,2,,,,,2,,1,3000,1,2500,,,,,,,,,,,,,,,,,,
635346,1,1,1,1,9,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
636407,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
649054,1,2,1,2,,,170,2,,2,,2,,,,,,,,,,,,,,,,,,,
649089,1,1,1,2,,,200,2,,2,,2,,,,,,,,,,,,,,,,,,,
670485,2,1,2,,,,,2,,1,2500,2,,1,1200,2,,2,,,,,,,,,,,,,
671893,1,1,1,1,4,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
671893,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,700,2,,2,,2,
671893,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
674019,2,1,2,,,,,2,,1,1800,2,,,,,,,,,,,,,,,,,,,
674105,1,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
674868,3,1,1,1,2,160,,2,,2,,2,,,,,,,,,,,,,,,,,,,
676374,2,1,,,,,,,,,,,,1,6480,2,,2,,,,,,,,,,,,,
676557,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,6000,2,,2,
680244,1,1,1,2,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
680244,2,1,2,,,,,2,,1,3600,2,,1,3600,2,,2,,,,,,,,,,,,,
680537,1,1,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
680537,2,1,1,1,1,80,,2,,2,,2,,,,,,,,,,,,,,,,,,,
681192,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
682204,2,1,1,1,6,60,,2,,2,,2,,,,,,,,,,,,,,,,,,,
682298,1,1,1,1,6,32,,2,,2,,2,,,,,,,,,,,,,,,,,,,
682359,3,1,,,,,,,,,,,,,,,,,,1,2000,2,,2,,2,,2,,2,
682408,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,1200,2,,2,,2,
682408,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,250,2,,2,,2,
682496,2,1,,,,,,,,,,,,1,7080,2,,2,,,,,,,,,,,,,
682897,3,1,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
683349,4,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
683373,3,3,,,,,,,,,,,,,,,,,,2,,2,,1,100,2,,2,,2,
683377,1,1,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
683727,1,1,,,,,,,,,,,,1,3800,2,,2,,,,,,,,,,,,,
684671,1,1,2,,,,,2,,1,4500,2,,,,,,,,,,,,,,,,,,,
684671,3,1,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
