NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,ASPVALABIT1,ASPVALABIT2,ASPVALABIT3,ASPVALABIT4,ASPVALABIT5,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,FMUTRIF,MUTUOE,MUTUORIF,REAPMUT,MUTUOR3,MUTUOE3,REAPMUT3,MUTUORIC,MUTUORIC3,DOCSEZD
22169,1990,2,,,,1,0,0,0,0,0,0,0,0,,,,,400,1,2,,2,,2,60,1940,1,100000,0,0,70,20,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
22173,1971,2,,,,,,,,,,,,,,,,,600,1,1,800,2,,2,80,1940,1,350000,0,0,50,40,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
22276,1967,1,1,,1967,1,0,0,0,0,0,0,0,0,1,5000,,,,,,,,400,,60,1500,1,70000,10,10,80,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
22286,1991,1,1,,1991,1,1,0,0,0,0,0,0,0,5,80000,,,,,,,,1000,,220,1989,2,200000,20,20,60,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
22624,2005,1,1,,2000,1,0,0,0,0,0,0,0,0,3,100000,,,,,,,,500,,68,1999,1,150000,20,20,30,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
22657,2000,1,1,,2000,1,1,0,0,0,0,0,0,0,1,250000,,,,,,,,600,,250,2000,2,400000,10,10,40,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
23490,1958,4,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,450,,60,1957,1,100000,5,5,70,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
23797,1987,4,,,,,,,,,,,,,,,,,,,,,5,500,,50,1940,1,150000,10,20,50,15,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,,2,2,2,,2,,2,,,,,2,,,2,2,1
23821,1959,1,1,,1959,1,1,0,0,0,0,0,0,0,1,20000,,,,,,,,350,,70,1950,1,95000,5,30,50,10,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,1,,2
23823,2010,1,1,,2010,1,1,0,0,0,0,0,0,0,1,200000,,,,,,,,600,,100,2009,2,220000,30,30,20,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
