NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,ASPVALABIT1,ASPVALABIT2,ASPVALABIT3,ASPVALABIT4,ASPVALABIT5,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,FMUTRIF,MUTUOE,MUTUORIF,REAPMUT,MUTUOR3,MUTUOE3,REAPMUT3,MUTUORIC,MUTUORIC3,DOCSEZD
818425,1973,1,1,,1973,1,0,0,0,0,0,0,0,0,1,11000,,,,,,,,500,,200,1972,2,80000,0,10,40,50,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
818640,1981,1,1,,1980,0,1,0,0,0,0,0,0,0,2,5000,,,,,,,,400,,140,1980,1,90000,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819010,2016,1,1,,2016,1,0,0,0,0,0,0,0,0,1,120000,,,,,,,,500,,100,2016,2,150000,10,10,50,30,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819031,1973,2,,,,1,0,0,0,0,0,0,0,0,,,,,400,4,1,500,4,,2,68,1970,1,60000,50,50,0,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819156,1988,2,,,,,,,,,,,,,,,,,50,2,1,400,4,,2,80,1983,2,60000,0,10,80,10,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819330,1965,1,1,,1965,1,1,0,0,0,0,0,0,0,1,3000,,,,,,,,400,,100,1965,1,150000,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819350,1980,1,1,,1980,1,1,0,0,0,0,0,0,0,1,15000,,,,,,,,500,,100,1945,2,150000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819433,1969,2,,,,,,,,,,,,,,,,,336,4,2,,4,,2,50,1964,1,20000,30,30,10,20,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819575,2020,1,1,,2020,1,1,0,0,0,0,0,0,0,1,540000,,,,,,,,1500,,250,2008,2,550000,0,0,50,50,0,1,1,1,1,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,1,1,1,,,,,,,,1
819653,1974,1,1,,1980,1,0,0,0,0,0,0,0,0,3,50000,,,,,,,,1000,,120,1925,2,500000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
819972,1980,1,1,,1980,0,1,0,0,0,0,0,0,0,3,80000,,,,,,,,500,,70,1973,2,120000,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
820115,2000,4,,,,,,,,,,,,,,,,,,,,,1,400,,70,1980,1,70000,40,20,20,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
820171,1990,1,1,,1991,0,1,0,0,0,0,0,0,0,1,11000,,,,,,,,450,,90,1988,2,80000,50,20,10,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
820465,1967,1,1,,1967,1,0,0,0,0,0,0,0,0,3,250000,,,,,,,,800,,300,1950,2,500000,0,0,50,50,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
820606,1983,1,1,,1998,1,1,0,0,0,0,0,0,0,1,19000,,,,,,,,600,,75,1981,2,55000,10,10,50,20,10,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
820675,1984,5,,,,,,,,,,,,,,,,,,,,,1,400,,100,1960,2,70000,25,25,10,20,20,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
820697,2014,1,1,,2006,1,1,0,0,0,0,0,0,0,2,75000,,,,,,,,500,,350,1900,2,500000,10,20,20,25,25,1,1,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,3,1,,,,,,,,2
820718,1937,1,1,,1937,1,0,0,0,0,0,0,0,0,1,10000,,,,,,,,300,,80,1930,1,60000,10,10,20,20,40,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
821008,1998,1,1,,1998,1,1,0,0,0,0,0,0,0,1,200000,,,,,,,,650,,85,1995,2,300000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
821727,1994,1,1,,1994,1,1,0,0,0,0,0,0,0,1,90000,,,,,,,,500,,300,1994,2,200000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,2,1,,,,,,,,2
821789,1996,2,,,,,,,,,,,,,,,,,400,2,2,,2,,2,100,1990,1,110000,10,20,50,20,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
821844,1980,1,1,,1980,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,250,,55,1976,1,40000,10,10,30,30,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,1,600,2,,2,,,,,2,,,2,2,2
822033,1999,1,2,50,1999,1,1,0,0,0,0,0,0,0,1,80000,2,,,,,,,500,,90,1960,1,100000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
822266,2007,1,1,,2007,0,1,0,0,0,0,0,0,0,1,290000,,,,,,,,850,,105,1972,2,220000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
822398,1974,1,1,,2016,0,1,0,0,0,0,0,0,0,3,150000,,,,,,,,500,,120,1972,2,150000,0,0,100,0,0,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
822408,1964,1,1,,1970,0,1,0,0,0,0,0,0,0,3,5000,,,,,,,,400,,90,1962,1,100000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
822530,1997,1,1,,1997,1,0,0,0,0,0,0,0,0,3,90000,,,,,,,,450,,80,1960,2,150000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
823046,1979,1,1,,1979,1,1,0,0,0,0,0,0,0,1,30000,,,,,,,,350,,80,1960,1,100000,30,20,30,20,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
823250,2007,2,,,,,,,,,,,,,,,,,622,2,2,,2,,2,80,1965,1,150000,0,0,0,100,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
823258,2005,1,1,,2000,1,1,0,0,0,0,0,0,0,2,85000,,,,,,,,600,,112,2000,2,150000,30,20,50,0,0,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1
823338,2008,1,1,,2008,1,1,0,0,0,0,0,0,0,5,250000,,,,,,,,900,,168,2008,2,650000,0,0,100,0,0,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
823488,1980,1,1,,1980,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,500,,90,1979,2,180000,0,100,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
823506,2010,2,,,,,,,,,,,,,,,,,65,4,2,,4,,1,80,1960,1,70000,0,0,50,50,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,1,1000,2,,,,,2,,,2,2,2
823524,2019,2,,,,,,,,,,,,,,,,,500,2,2,,2,,2,100,1960,2,250000,0,0,0,60,40,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
823993,1953,1,1,,1964,1,0,0,0,0,0,0,0,0,3,70000,,,,,,,,1500,,90,1953,1,300000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
824302,1946,1,1,,1946,1,0,0,0,0,0,0,0,0,3,15000,,,,,,,,250,,100,1930,2,80000,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
824637,1970,1,1,,1970,1,1,0,0,0,0,0,0,0,1,10000,,,,,,,,700,,110,1970,2,200000,10,20,40,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
824730,1984,1,1,,1984,1,0,0,0,0,0,0,0,0,1,90000,,,,,,,,450,,100,1983,2,180000,10,10,20,30,30,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,1,1,,2,2,2
824734,1989,1,1,,1989,1,1,1,0,0,0,0,0,0,1,30000,,,,,,,,50,,70,1950,1,30000,50,30,20,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,1,2000,2,,,,,2,,,1,,2
824735,1974,1,1,,1973,1,0,0,0,0,0,0,0,0,1,30000,,,,,,,,550,,130,1972,2,300000,10,10,20,30,30,1,2,2,,2,,2,,2,,1,2,2,,2,,2,,2,,2,,2,,3,,2,2,,2,,2,,,,,2,,,2,2,1
824808,2000,1,1,,1998,0,1,0,0,0,0,0,0,0,2,70000,,,,,,,,400,,90,1990,2,80000,20,10,30,10,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
824824,2005,1,1,,2004,1,1,0,0,0,0,0,0,0,1,55000,,,,,,,,400,,65,2000,1,150000,20,10,10,30,30,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
824887,1965,1,2,60,1965,1,0,0,0,0,0,0,0,0,4,90000,2,,,,,,,500,,80,1964,1,120000,20,10,20,20,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
824891,1980,1,1,,1995,1,0,0,0,0,0,0,0,0,1,22500,,,,,,,,500,,100,1970,1,80000,10,20,50,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,2,1,,,,,,,,2
825889,2004,1,1,,2004,1,0,0,0,0,0,0,0,0,3,50000,,,,,,,,350,,65,1960,1,85000,20,30,30,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
825977,2000,1,1,,2015,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,450,,90,1990,1,150000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826006,1985,5,,,,,,,,,,,,,,,,,,,,,4,300,,85,1980,1,85000,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826115,1985,1,1,,1985,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,600,,200,1985,2,230000,0,0,50,50,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826132,1979,1,1,,1979,0,1,0,0,0,0,0,0,0,2,10000,,,,,,,,500,,150,1960,2,180000,5,5,90,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,1,1,,,,2
826234,2011,2,,,,,,,,,,,,,,,,,400,5,2,,4,,2,75,1950,1,70000,0,0,100,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826248,1976,1,1,,1976,0,1,0,0,0,0,0,0,0,3,40000,,,,,,,,1000,,110,1950,2,200000,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826307,1935,1,1,,2005,1,0,0,0,0,0,0,0,0,3,100000,,,,,,,,700,,70,1930,1,120000,0,0,100,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826362,1980,1,1,,1980,1,1,1,1,0,0,0,0,0,5,1500,,,,,,,,100,,65,1980,1,100000,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
826456,2014,1,1,,2014,1,1,0,0,0,0,0,0,0,1,160000,,,,,,,,450,,160,1970,2,170000,0,10,80,10,0,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,3,,2,2,,2,,2,,,,,2,,,2,2,1
826744,2004,1,1,,2004,1,1,0,0,0,0,0,0,0,1,100000,,,,,,,,800,,110,1962,2,250000,0,0,50,50,0,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,,,2,2,2
827146,2002,1,1,,2002,1,0,0,0,0,0,0,0,0,2,80000,,,,,,,,500,,80,2000,2,150000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
827188,1983,1,1,,1983,1,1,0,0,0,0,0,0,0,1,20000,,,,,,,,350,,95,1982,2,100000,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,,2,2,2,,2,,2,,,,,2,,,2,2,2
827386,1986,2,,,,1,0,0,0,0,0,0,0,0,,,,,270,4,1,600,4,,2,65,1986,1,95000,0,0,100,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
827457,2000,1,1,,1997,1,0,0,0,0,0,0,0,0,4,150000,,,,,,,,600,,130,1915,2,400000,0,0,100,0,0,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
827578,1941,1,1,,1971,1,0,0,0,0,0,0,0,0,4,15000,,,,,,,,300,,100,1930,2,80000,70,10,10,10,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
827639,1982,1,1,,1992,1,0,0,0,0,0,0,0,0,1,21000,,,,,,,,500,,85,1980,2,130000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
827847,2010,2,,,,,,,,,,,,,,,,,350,1,2,,2,,2,120,1995,2,120000,0,0,100,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
850013,2012,5,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,350,,110,1980,1,130000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851025,1988,1,1,,1988,1,0,0,0,0,0,0,0,0,3,120000,,,,,,,,500,,120,1988,2,200000,20,30,20,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851151,1993,1,1,,1991,1,1,0,0,0,0,0,0,0,5,60000,,,,,,,,400,,200,1991,2,130000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,1,,2
851172,2007,1,1,,2007,1,1,0,0,0,0,0,0,0,5,300000,,,,,,,,1000,,220,2007,2,400000,10,10,50,10,20,2,,2,,2,,2,,2,,1,1,2,,1,1,2,,2,,2,,2,,1,1,2,2,,2,,2,,,,,2,,,2,2,2
851493,1970,1,1,,1970,1,0,0,0,0,0,0,0,0,3,20000,,,,,,,,600,,100,1930,2,180000,0,0,0,50,50,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851504,1984,2,,,,,,,,,,,,,,,,,450,2,2,,2,,2,200,1920,1,80000,0,100,0,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851627,1940,5,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,500,,120,1940,2,190000,30,20,50,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851672,1988,1,1,,1988,1,1,0,0,0,0,0,0,0,2,2000,,,,,,,,600,,170,1987,1,200000,0,100,0,0,0,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851693,1961,1,2,25,1959,1,0,0,0,0,0,0,0,0,1,2000,2,,,,,,,250,,72,1959,1,50000,80,5,5,5,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851703,1994,1,1,,1994,0,1,0,0,0,0,0,0,0,1,3000,,,,,,,,800,,240,1994,2,150000,50,50,0,0,0,1,1,2,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851874,1996,1,1,,1996,0,1,0,0,0,0,0,0,0,4,40000,,,,,,,,300,,70,1994,2,70000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
851937,1990,1,1,,1990,1,0,0,0,0,0,0,0,0,4,100000,,,,,,,,1000,,110,1970,1,160000,0,0,100,0,0,1,1,1,2,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,,,2,2,2
851968,1993,1,1,,1993,0,1,0,0,0,0,0,0,0,3,50000,,,,,,,,600,,100,1980,2,100000,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
852021,1980,1,1,,1980,1,1,0,0,0,0,0,0,0,5,25000,,,,,,,,300,,100,1980,1,100000,0,100,0,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
852070,1994,1,1,,1993,1,0,0,0,0,0,0,0,0,1,50000,,,,,,,,400,,120,1993,2,80000,0,0,80,20,0,2,,2,,1,1,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,3,,2,2,,2,,2,,,,,2,,,2,2,2
852130,1987,1,1,,2017,1,0,0,0,0,0,0,0,0,1,200000,,,,,,,,500,,75,1970,1,200000,10,20,60,5,5,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,2,,,,,2,,,2,2,1
852140,2011,1,1,,2010,0,1,0,0,0,0,0,0,0,4,280000,,,,,,,,500,,95,2009,2,250000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
852283,1996,1,1,,1996,1,0,0,0,0,0,0,0,0,3,120000,,,,,,,,200,,80,1936,1,90000,20,20,20,20,20,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
852554,1972,4,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,500,,110,1972,2,80000,0,0,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
852574,1977,1,1,,1973,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,300,,100,1973,2,250000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
853279,1984,1,1,,1980,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,500,,80,1980,2,170000,10,30,20,30,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
853318,2000,1,1,,2000,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,400,,95,2000,2,135000,20,20,20,20,20,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
853352,1972,2,,,,,,,,,,,,,,,,,450,2,2,,2,,2,90,1945,1,180000,30,30,10,20,10,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
853569,1988,2,,,,,,,,,,,,,,,,,290,5,2,,4,,2,84,1987,2,75000,0,30,70,0,0,2,,2,,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
853875,1980,1,1,,1970,1,1,0,0,0,0,0,0,0,5,30000,,,,,,,,400,,100,1970,2,120000,10,10,50,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854112,2011,1,1,,2010,1,0,0,0,0,0,0,0,0,1,200000,,,,,,,,800,,180,1970,2,300000,10,20,5,25,40,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,3,,2,2,,2,,2,,,,,2,,,2,2,2
854163,1971,1,1,,1971,1,1,0,0,0,0,0,0,0,1,100000,,,,,,,,750,,170,1600,2,300000,25,25,25,25,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854306,1984,1,1,,1980,1,1,0,0,0,0,0,0,0,1,55000,,,,,,,,800,,180,1980,2,250000,10,20,5,20,45,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854346,1989,3,1,,2000,1,0,0,0,0,0,0,0,0,1,50000,,,,,,,,180,,90,1960,2,130000,0,0,20,50,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854393,1963,1,1,,1963,1,0,0,0,0,0,0,0,0,3,20000,,,,,,,,500,,80,1900,1,160000,0,0,0,70,30,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854406,1988,1,1,,1988,1,0,0,0,0,0,0,0,0,1,20000,,,,,,,,200,,90,1960,1,110000,0,0,0,100,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854554,1970,1,1,,1970,1,0,0,0,0,0,0,0,0,1,12500,,,,,,,,800,,100,1970,2,120000,0,0,10,50,40,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854559,2008,1,1,,2008,1,0,0,0,0,0,0,0,0,2,100000,,,,,,,,500,,80,1960,1,150000,0,0,50,50,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854593,1990,1,1,,1990,0,1,0,0,0,0,0,0,0,3,200000,,,,,,,,600,,100,1930,2,300000,0,10,10,50,30,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854714,1962,1,1,,1962,1,0,0,0,0,0,0,0,0,4,25000,,,,,,,,400,,200,1960,2,100000,10,30,30,20,10,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854730,1994,1,1,,1994,1,1,0,0,0,0,0,0,0,1,80000,,,,,,,,350,,95,1980,2,170000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854858,1990,1,1,,1990,0,1,0,0,0,0,0,0,0,3,180000,,,,,,,,600,,90,1920,1,190000,10,20,40,25,5,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
854970,1970,1,1,,1970,1,0,0,0,0,0,0,0,0,5,25000,,,,,,,,500,,210,1969,2,120000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1
855035,1971,1,1,,1967,0,1,0,0,0,0,0,0,0,1,40000,,,,,,,,350,,65,1800,2,50000,20,20,10,20,30,1,1,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,1,5000,2,,2,,,,,2,,,2,2,2
855111,2001,1,1,,2001,1,0,0,0,0,0,0,0,0,3,800000,,,,,,,,600,,160,1900,2,800000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2
855135,2005,1,1,,2004,1,0,0,0,0,0,0,0,0,5,40000,,,,,,,,500,,120,2004,2,120000,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,1,1,1,,,,,,,,2
855238,1976,1,1,,1976,1,1,0,0,0,0,0,0,0,5,100000,,,,,,,,400,,100,1975,2,200000,0,0,50,50,0,1,1,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,2,,,2,2,2
855259,1951,1,2,66,1999,1,1,0,0,0,0,0,0,0,3,200000,2,,,,,,,1000,,180,1939,2,190000,0,50,50,0,0,2,,1,1,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,2,,,,,2,,,2,2,2
