NQUEST,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB_PROF,RATADEB,PFCOLL,PFNOCOLL
955373,,,,,,0,,0,0,0,,,,,,0,0
955425,,,,,,170000,,0,0,0,14400,,,,14400,0,170000
955426,,,,,,448000,,0,0,0,23000,,,,23000,430000,18000
955429,,117000,,,,0,117000,0,0,0,,,6000,,6000,0,117000
955431,,,,,,75000,,0,0,0,9500,,,,9500,75000,0
955435,,,,,,0,,0,0,0,,,,,,0,0
955472,,,,,,0,,0,0,0,,,,,,0,0
955487,,,,,,160000,,0,0,0,13400,,,,13400,160000,0
955488,3000,,,,,100000,3000,0,0,0,15400,,3300,,18700,0,103000
955529,,,,,,0,,0,0,0,,,,,,0,0
955544,,,,,,0,,0,0,0,,,,,,0,0
955555,,,,,,0,,0,0,0,,,,,,0,0
955558,,,,,,0,,0,0,0,,,,,,0,0
955560,,,,,,0,,0,0,0,,,,,,0,0
955579,,,,,,0,,0,0,0,,,,,,0,0
955598,,,,,,95000,,0,0,0,6000,,,,6000,95000,0
955621,,,,,,0,,0,0,0,,,,,,0,0
955624,,,,,,0,,8800,0,0,,,,2200,2200,0,8800
955635,,,,,,0,,0,0,0,,,,,,0,0
955642,,,,,,0,,0,0,0,,,,,,0,0
955653,,,,,,140000,,0,0,0,20000,,,,20000,140000,0
955677,,,,,,0,,0,0,0,,,,,,0,0
955679,,,,,,150000,,0,0,0,15000,,,,15000,150000,0
955680,1900,,,,,50000,1900,0,0,30000,5100,,2600,,7700,1900,80000
955685,,,,,,0,,0,0,0,,,,,,0,0
955702,,,,,,300000,,0,0,0,20000,,,,20000,300000,0
955710,,,,,,140000,,0,0,0,11500,,,,11500,140000,0
955717,,,,,,175000,,0,0,0,14000,5000,,,19000,175000,0
955720,,,,,,12000,,0,0,0,6000,,,,6000,12000,0
955732,,,,,,200000,,0,0,0,17460,,,,17460,200000,0
955743,,,,,,0,,0,0,0,,,,,,0,0
955750,,,,,,160000,,0,0,0,13000,,,,13000,160000,0
955753,2640,,,,,235000,2640,0,0,0,17640,,2400,,20040,235000,2640
955757,,,,,,100000,,0,0,0,15000,,,,15000,100000,0
955763,,,,,,200000,,0,0,0,9600,,,,9600,200000,0
955777,,,,,,220000,,0,0,0,12600,,,,12600,220000,0
955778,,,,,,150000,,15500,5000,0,14000,,,8600,22600,150000,20500
955782,,,,,,15000,,0,0,0,10000,,,,10000,15000,0
955797,,,,,,0,,0,0,0,,,,,,0,0
955804,,,,,,283000,,0,0,0,16000,,,,16000,283000,0
955833,12000,,,,,226000,12000,0,0,0,12000,,2400,,14400,226000,12000
955839,,,,,,0,,0,0,0,,,,,,0,0
955853,,,,,,68000,,0,0,0,13200,,,,13200,68000,0
955865,,,,,,270000,,0,0,0,12000,,,,12000,270000,0
955874,,,,,,180000,,0,0,0,14000,,,,14000,180000,0
955875,,,,,,345000,,0,0,0,15000,,,,15000,345000,0
955886,,,,,,150000,,0,0,0,11000,,,,11000,150000,0
955919,,,,,,540000,,110000,0,0,19000,9200,,7650,35850,650000,0
955920,,,,,,100000,,0,0,0,9600,,,,9600,100000,0
955935,,,,,,0,,0,0,0,,,,,,0,0
955960,,,,,,159000,,0,0,0,10600,,,,10600,159000,0
955977,,,,,,0,,0,0,0,,,,,,0,0
955979,,,,,,186510,,0,0,0,14400,,,,14400,186510,0
955983,6000,,,,,267000,6000,0,0,0,11100,,1200,,12300,225000,48000
955986,,,,,,0,,0,0,0,,,,,,0,0
955997,,,,,,110000,,0,0,0,10200,,,,10200,110000,0
956006,,,,,,332500,,0,0,0,1500,,,,1500,332500,0
956017,,,,,,381000,,0,0,0,13000,4000,,,17000,357000,24000
956041,,,,,,216000,,0,0,0,13000,,,,13000,216000,0
956056,,,,,,150000,,0,0,0,12000,,,,12000,150000,0
956081,,,,,,0,,0,0,0,,,,,,0,0
956098,,,,,,200000,,0,0,0,3000,,,,3000,200000,0
956118,8311,,,,,171493,8311,0,0,0,8400,,2990,,11390,171493,8311
956130,,,,,,0,,0,1448.907796,0,,,,,,0,1448.907796
956141,,,,,,120000,,0,0,0,12000,,,,12000,120000,0
956147,,,,,,0,,0,0,0,,,,,,0,0
956170,,,,,,0,,0,0,0,,,,,,0,0
956198,,,,,,58000,,0,0,0,,3000,,,3000,58000,0
956207,,,,,,0,,0,0,0,,,,,,0,0
956223,,,,,,0,,0,0,0,,,,,,0,0
956225,,,,,,0,,0,0,0,,,,,,0,0
956234,,,,,,0,,30000,1643.2020959,0,,,,0,0,0,31643.202096
956237,,9160,,,,9160,9160,0,0,0,830,,830,,1660,0,18320
956247,,,,,,175000,,0,0,0,8640,,,,8640,175000,0
956251,,,,,,0,,0,0,0,,,,,,0,0
956254,,,,,,0,,0,0,0,,,,,,0,0
956258,,,,,,0,,0,0,0,,,,,,0,0
956262,,,,,,254000,,0,0,0,17000,,,,17000,254000,0
956279,,,,,,0,,0,0,0,,,,,,0,0
956318,,,,,,0,,0,0,0,,,,,,0,0
956322,,,,,,0,,0,0,0,,,,,,0,0
956326,,,,,,0,,0,0,0,,,,,,0,0
956353,,,,,,198000,,0,0,0,9600,,,,9600,198000,0
956356,,,,,,50000,,0,0,0,,5000,,,5000,50000,0
956365,,,,,,80000,,0,0,0,5400,,,,5400,80000,0
956366,,,,,,112000,,0,0,0,6000,,,,6000,112000,0
956376,,,,,,165000,,0,0,0,7200,,,,7200,165000,0
956399,,,,,,0,,0,0,0,,,,,,0,0
956445,,,,,,0,,0,0,0,,,,,,0,0
956446,,,,,,0,,18000,0,0,,,,2000,2000,0,18000
956449,,,,,,0,,330000,0,0,,,,76000,76000,310000,0
956454,,,,,,0,,0,0,0,,,,,,0,0
956455,,,,,,0,,0,0,0,,,,,,0,0
956457,,,,,,0,,0,0,0,,,,,,0,0
956459,,,,,,0,,0,0,0,,,,,,0,0
956460,,,,,,0,,0,0,0,,,,,,0,0
956467,,,,,,0,,0,0,0,,,,,,0,0
956468,,,,10300,,0,10300,0,0,0,,,2760,,2760,0,10300
956474,,,,,,0,,0,0,0,,,,,,0,0
956475,,,,,,0,,0,0,0,,,,,,0,0
956507,,,,,,316000,,0,1000,0,14400,,,,14400,316000,1000
956523,5000,,,,,51000,5000,0,0,0,6000,,2500,,8500,56000,0
956548,,,,,,0,,0,0,0,,,,,,0,0
956558,,,,,,0,,0,0,0,,,,,,0,0
956579,,,,,,0,,0,0,0,,,,,,0,0
956581,,,,,,0,,0,0,0,,,,,,0,0
956606,,,,,,0,,0,0,0,,,,,,0,0
956619,,,,,,0,,0,0,0,,,,,,0,0
956631,,,,,,0,,0,0,0,,,,,,0,0
956645,,,,,,52000,,0,0,0,6000,,,,6000,52000,0
956660,,,,,,140000,,0,0,0,5000,,,,5000,140000,0
956665,,,,,,189000,,0,0,0,10800,,,,10800,0,189000
956672,,,,,,202000,,0,0,0,11300,,,,11300,202000,0
956691,,,,,,0,,0,0,0,,,,,,0,0
956693,,,,,,0,,0,0,0,,,,,,0,0
956762,,,,,,0,,0,0,0,,,,,,0,0
956780,,,,,,0,,0,0,0,,,,,,0,0
956781,,,,4000,,100000,4000,0,0,28000,17280,,1800,,19080,104000,28000
956783,,,,,,0,,0,0,0,,,,,,0,0
956797,,800,,,,0,800,0,0,0,,,1200,,1200,0,800
956800,2000,,,,,250000,2000,0,0,0,14400,,3120,,17520,250000,2000
956801,40000,,,,,52000,40000,0,0,40000,12000,,4500,,16500,40000,92000
956807,6200,,,,,42229,6200,0,0,0,4608,,2400,,7008,42229,6200
956826,,,,,,0,,0,0,0,,,,,,0,0
956838,,,,,,140000,,0,0,4733.7088599,,6000,,,6000,140000,4733.7088599
956863,,,,,,85000,,0,0,0,,9600,,,9600,85000,0
956879,,,,,,0,,0,0,0,,,,,,0,0
956886,,,,,,0,,0,0,0,,,,,,0,0
956888,,,,,,0,,0,0,0,,,,,,0,0
956892,,,,,,100000,,0,0,0,1000,,,,1000,100000,0
956895,,,,,,0,,0,0,5000,,,,,,0,5000
956896,,,,,,0,,0,0,0,,,,,,0,0
956898,,,,,,135000,,0,0,4619.4537554,22000,,,,22000,135000,4619.4537554
956899,,,,,,0,,0,0,0,,,,,,0,0
956904,,,,,,260000,,0,0,0,,32500,,,32500,260000,0
956905,,16000,,,,100000,16000,0,0,0,4440,,4320,,8760,116000,0
956906,,,,,,0,,0,0,0,,,,,,0,0
956916,,,,,,0,,0,0,0,,,,,,0,0
956918,,,,,,0,,0,0,0,,,,,,0,0
956921,,,,,,0,,0,0,0,,,,,,0,0
956923,,,,,,97700,,0,0,4555.3319221,15600,,,,15600,97700,4555.3319221
956938,,,,,,125000,,0,0,0,6000,,,,6000,125000,0
956939,,,,,,222000,,0,0,0,7339,,,,7339,222000,0
956974,,,,,,0,,0,0,0,,,,,,0,0
956975,,,,,,0,,0,0,0,,,,,,0,0
956986,,,,,,0,,0,0,0,,,,,,0,0
956990,,,,,,0,,0,0,0,,,,,,0,0
957002,,,,,,180000,,0,0,0,,15000,,,15000,180000,0
957007,,,,,,0,,0,0,0,,,,,,0,0
957009,,,,,,165000,,0,0,0,7700,,,,7700,165000,0
957010,,,,,,0,,0,0,0,,,,,,0,0
957013,,,,,,0,,0,0,0,,,,,,0,0
957020,,,,,,162000,,0,0,0,9000,,,,9000,162000,0
957023,,,,,,0,,0,0,0,,,,,,0,0
957033,,2800,,,,180000,2800,0,0,0,8000,5300,150,,13450,180000,2800
957046,,,,,,0,,0,0,0,,,,,,0,0
957048,,,,,,0,,0,0,0,,,,,,0,0
957050,400,,,,,0,400,0,0,5579.6057843,,,400,,400,400,5579.6057843
957051,,,,,,0,,0,0,0,,,,,,0,0
957052,,,,,,0,,0,0,0,,,,,,0,0
957057,,,,,,0,,0,0,0,,,,,,0,0
957061,,,,,,0,,0,0,0,,,,,,0,0
957092,,,,,,0,,168000,200,0,,,,8850,8850,100000,64200
957093,,,,,,0,,0,0,150,,,,,,0,150
957094,,,,,,0,,80500,1295.5838617,0,,,,28000,28000,78000,1295.5838617
957095,,,,,,0,,0,0,0,,,,,,0,0
957097,,40,,80,,0,120,0,0,0,,,8715,,8715,40,80
957098,,,,,,0,,0,0,0,,,,,,0,0
957137,,3000,,,,25000,3000,0,2000,5000,2000,,1000,,3000,25000,10000
957154,,,,,,0,,0,0,0,,,,,,0,0
957158,,,,,,0,,0,0,0,,,,,,0,0
957174,,,,,,0,,38109,0,0,,,,6700,6700,38109,0
957206,,,,,,70000,,0,0,0,4500,,,,4500,70000,0
957217,,,,,,0,,0,0,0,,,,,,0,0
957225,,,,,,70000,,130000,0,0,0,0,,0,0,200000,0
957234,,,,,,0,,144500,0,0,,,,6750,6750,60000,4500
957238,,,,,,0,,0,0,0,,,,,,0,0
957258,,,,,,0,,0,0,0,,,,,,0,0
957262,,,,,,0,,0,0,0,,,,,,0,0
957264,,,,,,0,,0,0,0,,,,,,0,0
957284,,,,,,0,,0,0,0,,,,,,0,0
957296,,,,,,120000,,0,0,0,12700,,,,12700,120000,0
957303,,,,,,163000,,0,0,0,9600,,,,9600,163000,0
957306,,,,,,0,,0,0,0,,,,,,0,0
957307,,,,,,180000,,0,0,0,12000,,,,12000,180000,0
957313,,,,,,0,,0,0,0,,,,,,0,0
957315,,,,,,125000,,0,0,0,10800,,,,10800,125000,0
957333,,,,34000,,0,34000,0,0,0,,,6800,,6800,0,34000
957344,,,,,,0,,0,0,0,,,,,,0,0
957386,,,,,,170000,,0,0,4842.1115903,7800,,,,7800,170000,4842.1115903
957397,,,,,,0,,0,0,0,,,,,,0,0
957492,6000,500,,3200,,120000,9700,0,0,0,10000,,5100,,15100,126000,3700
957498,,,,,,0,,0,0,0,,,,,,0,0
957502,,,,,,0,,0,0,0,,,,,,0,0
957506,,,,,,18000,,0,0,0,6000,,,,6000,18000,0
957508,,,,,,0,,0,0,0,,,,,,0,0
957509,4000,,,,,0,4000,0,3000,0,,,1100,,1100,0,7000
957516,,,,,,0,,0,0,0,,,,,,0,0
957545,,,,,,55000,,0,0,0,5500,,,,5500,55000,0
957548,19500,,,,,127000,19500,0,0,6000,9000,,3500,,12500,127000,25500
957552,10500,,,,,172000,10500,0,0,0,10000,,5000,,15000,172000,10500
957556,9000,,,,,120000,9000,0,0,0,10800,,3000,,13800,129000,0
957559,,,,,,0,,13000,0,0,,,,10500,10500,0,13000
957564,900,,,,,0,900,0,0,0,,,3840,,3840,900,0
957579,,1500,,,,110000,1500,0,0,0,11000,,1500,,12500,110000,1500
957586,,,,,,0,,0,0,0,,,,,,0,0
957589,,,,,,0,,0,0,0,,,,,,0,0
957610,,,,,,38280,,0,0,0,7656,,,,7656,38280,0
957616,,,,,,0,,0,0,0,,,,,,0,0
957652,,,,,,0,,0,0,0,,,,,,0,0
957654,,,,,,0,,0,0,0,,,,,,0,0
957657,,,,,,0,,216000,0,0,,,,24000,24000,216000,0
957661,,500,,,,17000,500,0,2000,0,11000,,2000,,13000,17000,2500
957664,,,,,,0,,0,1480.1527447,0,,,,,,0,1480.1527447
957671,,,,,,0,,0,0,0,,,,,,0,0
957674,,,,,,222000,,0,0,0,13000,,,,13000,222000,0
957677,,,,,,152800,,0,0,0,7200,,,,7200,152800,0
957684,,,,,,131200,,0,0,0,9600,,,,9600,131200,0
957687,,300,,,,257400,300,0,1450.845207,0,6600,6000,300,,12900,257700,1450.845207
957692,,,,,,144000,,0,0,0,9000,,,,9000,144000,0
957693,,,,,,89104,,0,0,0,4632,,,,4632,89104,0
957696,,,,18000,,35000,18000,0,0,0,3000,,2000,,5000,35000,18000
957701,,,,,,0,,0,0,0,,,,,,0,0
957705,27000,,,,,55220,27000,0,0,0,6048,,3900,,9948,55220,27000
957709,,,,,,55000,,0,0,0,9600,,,,9600,55000,0
957711,,,,,,135000,,0,0,0,7300,,,,7300,135000,0
957713,,,,,,148200,,0,0,0,7800,,,,7800,148200,0
957714,5000,,,,,0,5000,1000,0,0,,,5000,4000,9000,5000,1000
957721,40000,,,,,35000,40000,0,0,0,8000,,8000,,16000,35000,40000
957729,,,,,,0,,10000,0,0,,,,,,0,0
957736,,,,,,0,,0,0,0,,,,,,0,0
957746,,,,,,110000,,0,0,0,6000,,,,6000,110000,0
957749,,,,,,0,,0,0,0,,,,,,0,0
957754,,,,,,0,,0,0,0,,,,,,0,0
957760,,,,,,150000,,0,0,0,8400,,,,8400,150000,0
957763,,,,,,0,,0,0,0,,,,,,0,0
957764,,,,,,0,,0,0,0,,,,,,0,0
957769,,,,,,0,,0,0,0,,,,,,0,0
957771,,,,,,0,,0,0,0,,,,,,0,0
957775,,,,,,30000,,0,0,0,9600,,,,9600,30000,0
957776,,,,,,0,,0,0,0,,,,,,0,0
957778,,,,,,140000,,0,0,0,8500,,,,8500,140000,0
957780,,,,,,115000,,0,0,0,4500,,,,4500,115000,0
957788,,,,,,0,,0,0,0,,,,,,0,0
957799,,,,,,0,,240000,0,50000,,,,24700,24700,240000,50000
957837,,,,,,0,,0,0,0,,,,,,0,0
957852,,,,,,0,,7500,0,0,,,,500,500,0,7500
957892,,,,,,0,,0,0,0,,,,,,0,0
957903,,,,,,0,,0,0,0,,,,,,0,0
957908,,,,,,0,,0,0,0,,,,,,0,0
957909,,,,,,0,,0,0,0,,,,,,0,0
957920,,,,,,0,,0,0,0,,,,,,0,0
957924,,,,,,0,,0,0,0,,,,,,0,0
957931,11000,,,,,110000,11000,0,0,0,8400,,3600,,12000,110000,11000
957938,,,,,,166500,,0,0,0,16600,,,,16600,155000,11500
957955,5832,1928,,,,213000,7760,0,320,0,6108,,9137,,15245,213000,8080
957973,,,,,,0,,12000,0,0,,,,120,120,0,4000
957983,,,,,,130000,,0,0,0,7200,,,,7200,0,130000
957987,,,,,,0,,0,0,5123.1346579,,,,,,0,5123.1346579
957988,,,,,,130000,,0,0,0,9600,,,,9600,130000,0
957989,,,,,,0,,0,0,0,,,,,,0,0
957993,,,,,,80000,,0,0,0,7200,,,,7200,80000,0
957999,,,,,,0,,0,0,0,,,,,,0,0
958000,,,,,,0,,1000,0,0,,,,,,0,0
958003,,,,,,120000,,0,0,0,5400,,,,5400,120000,0
958022,,,,,,0,,0,0,0,,,,,,0,0
958051,,,,,,125000,,0,0,0,9960,,,,9960,125000,0
958053,,,,,,0,,380000,0,0,,,,60000,60000,0,380000
958055,15000,,,,,85000,15000,0,0,5000,1600,,2300,,3900,100000,5000
958056,,,,,,0,,0,0,0,,,,,,0,0
