NQUEST,NORDP,MOTUSC,ANNOENUS
859573,3,4,2020
859592,4,4,2020
859592,5,4,2020
862146,4,2,2020
862168,6,1,2018
862416,2,4,2019
862604,1,1,2020
863430,2,1,2020
864809,3,4,2017
865481,7,5,2018
865481,3,5,2018
865481,1,5,2018
865481,6,5,2018
865498,3,4,2020
866382,3,3,2019
866387,2,3,2019
867008,1,1,2020
867784,4,1,2018
872005,3,1,2020
872112,2,1,2018
872747,3,4,2018
874225,2,5,2020
874325,2,1,2018
874375,3,4,2017
874375,1,5,2018
874392,3,4,2019
875011,3,4,2018
875027,2,4,2017
875088,4,3,2018
875686,2,4,2020
878873,3,3,2020
879023,4,5,2018
879023,1,4,2018
879568,4,4,2020
879568,3,4,2020
879591,2,4,2020
880072,3,4,2020
883157,2,1,2017
883392,3,4,2018
883789,1,1,2019
885633,2,1,2018
885709,3,3,2020
885878,4,4,2019
886748,3,4,2020
888178,3,4,2019
888178,4,4,2019
889711,2,5,2020
889720,2,3,2020
889721,3,3,2019
889721,4,5,2019
890008,2,4,2019
890880,1,3,2017
890880,2,3,2017
891317,3,4,2020
893990,4,4,2020
893990,5,4,2018
893990,1,1,2017
894324,1,1,2018
894447,3,1,2017
896130,3,4,2020
896404,2,1,2018
896608,2,3,2019
898442,3,4,2017
898442,2,4,2017
899437,2,5,2020
899500,3,1,2020
901402,3,4,2020
904956,1,5,2019
904956,2,5,2019
905165,2,4,2019
905217,4,4,2018
905217,2,4,2019
905472,3,4,2019
906624,2,2,2019
906946,3,4,2019
907846,1,5,2017
907846,2,5,2017
908516,2,1,2020
909390,3,4,2017
909390,4,4,2017
909390,5,4,2017
909728,3,3,2018
910218,2,1,2018
910841,2,1,2019
910841,3,4,2018
911078,3,4,2019
911087,4,4,2019
911116,3,4,2018
911118,1,1,2018
911816,1,1,2019
912087,6,5,2019
912087,5,5,2019
912087,4,4,2019
912451,3,4,2018
912456,2,1,2020
912555,2,4,2018
913962,2,4,2017
914187,3,4,2018
914406,1,5,2018
914508,4,4,2020
914508,3,4,2019
914633,3,4,2019
914657,3,5,2020
914657,5,5,2020
914828,1,1,2018
914874,7,4,2017
914874,6,4,2017
914874,3,4,2017
914874,5,4,2017
914874,4,4,2017
914962,3,1,2019
914966,3,4,2020
914966,4,4,2018
915470,1,1,2019
915774,4,4,2020
916952,3,4,2020
917172,4,4,2018
917205,2,1,2017
917218,1,1,2019
917218,3,4,2017
917247,3,4,2019
917440,3,4,2017
917519,2,5,2018
918072,3,5,2020
918381,1,1,2020
918381,3,4,2019
918405,3,4,2018
918428,2,4,2018
918443,2,1,2017
918590,1,4,2018
918761,2,1,2020
918774,3,4,2017
918898,3,4,2018
918898,4,4,2018
918910,2,1,2018
919137,2,4,2019
919324,1,1,2017
919370,1,4,2018
919391,3,4,2019
919391,4,1,2018
919665,2,1,2020
919727,4,4,2019
919759,2,1,2017
919775,2,4,2020
919851,1,4,2018
919945,3,1,2020
919970,2,1,2020
920024,2,4,2017
920032,2,4,2017
920041,1,4,2017
920041,2,4,2017
921001,3,4,2018
921001,5,4,2018
921001,4,4,2018
921275,3,3,2017
921407,1,1,2019
921840,2,1,2018
921926,3,4,2018
921955,2,5,2018
921955,3,5,2018
921955,4,5,2018
922278,3,4,2020
922628,3,4,2019
922640,2,4,2019
922661,2,5,2020
922671,4,4,2020
922677,3,5,2019
922805,3,4,2019
922805,7,5,2020
922805,4,4,2019
922892,2,5,2019
922892,3,3,2020
922898,3,4,2018
922935,1,1,2019
922985,2,2,2017
922985,4,4,2019
922985,3,4,2019
923444,2,1,2018
923444,1,4,2018
923574,4,1,2020
923577,3,3,2017
923655,2,3,2020
923655,3,4,2018
923859,1,5,2018
923859,4,5,2017
923887,3,3,2018
924215,1,1,2020
924219,3,5,2020
924219,2,4,2019
924483,1,1,2020
