NQUEST,RCDOM,RCDOMAN,RCACC,RCPATTOA,RCPATTOB,RCMES19,RCAMM19,RCMES20,RCAMM20,RCANNI,RCANNI1,MISCOVID3,MISCOVIDV3,MISCOVID4,MISCOVIDV4,MISCOVID5,MISCOVIDV5,VARRED,VARREDA,VARREDB,VARREDCOME1,VARREDCOME2,VARREDCOME3,VARREDCOME4,VARREDCOME5,VARREDCOME6,VARREDFINE,VARREDFINEA,VARREDFINEB,ASPRED,IMPCOVID1,IMPCOVID2,IMPCOVID3,IMPCOVID4,DOCSEZB
39218,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
39227,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
39317,2,,,,,,,,,5,,2,,2,,2,,3,,5000,2,2,2,2,2,1,2,,,2,2,1,1,2,1
39318,2,,,,,,,,,0,,2,,2,,2,,1,20000,,,,,,,,2,,,3,2,2,2,2,2
39488,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,1
39697,2,,,,,,,,,0,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
50231,2,,,,,,,,,1,,2,,2,,2,,3,,3000,2,2,2,2,2,1,2,,,3,1,2,2,2,2
51363,2,,,,,,,,,2,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
51544,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
51895,2,,,,,,,,,10,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
52700,2,,,,,,,,,5,,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
52718,3,,,,,,,,,,,2,,,,2,,3,,50,2,2,2,2,2,2,4,,,4,2,2,2,1,2
52736,1,2,1,2,2,,,12,500,5,,2,,,,2,,3,,3600,2,2,2,1,2,1,3,,3600,1,2,2,2,2,2
53086,2,,,,,,,,,1,,2,,2,,2,,3,,1000,2,2,2,2,2,2,2,,,4,2,2,2,2,2
53202,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
53234,2,,,,,,,,,,1,2,,2,,2,,2,,,,,,,,,2,,,2,2,2,2,2,2
53373,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
53380,2,,,,,,,,,,1,2,,,,2,,2,,,,,,,,,2,,,1,2,2,2,2,2
53552,2,,,,,,,,,1,,2,,2,,2,,3,,3500,2,2,2,1,2,1,3,,3000,1,2,2,1,2,2
53564,2,,,,,,,,,20,,2,,2,,2,,3,,10000,2,2,2,1,1,1,3,,5000,1,2,1,2,2,2
