NQUEST,NORDEB1,DEBM1,DETRAZIONI1,DEBRF1,ANMUTUO1,MUTUODU1,MUTUOFIN1,MUTUOIN1,DEBGAR1,DEBPERS1,LTV1,TIPOTAX1,RATACON1,TAXFIS1,TAXVAR1,SOSPENS1,SOSPEORA1,RIPPAG1,RIPPAGQUA1,TMUTUOAB1,TDEBITA1,RIFINANZ1
954364,1,2,1,1,2016,25,20,270000,1,,100,2,2,,1,2,,,,12550,220000,1
954433,1,1,,2,2005,30,14,220000,1,,70,1,,5,,2,,,,12000,110000,2
954514,1,2,1,2,2017,22,18,160000,1,,70,1,,1,,2,,,,9100,130000,2
954574,1,1,,2,2016,26,22,170000,1,,95,1,,1.4,,2,,,,6300,92000,1
954632,1,1,,2,2011,20,10,440000,1,,80,2,1,,2,2,,,,15000,240000,2
954635,1,1,,2,2018,30,27,52000,1,,50,1,,1,,2,,,,2500,45000,2
954645,1,1,,2,2014,20,13,150000,1,,50,2,1,,0.2,2,,,,12000,110000,2
954714,1,1,,2,2007,20,6,150000,1,,50,1,,1.8,,2,,,,7200,40000,2
954721,1,1,,2,2012,20,11,100000,1,,100,2,1,,3,2,,,,7000,68000,2
954763,1,1,,2,2017,30,21,300000,1,,80,1,,2,,2,,,,10800,200000,1
954815,1,1,,2,2004,30,13,230000,1,,80,2,1,,1,2,,,,12000,100000,2
954898,1,1,,2,2011,30,20,200000,1,,80,1,,1,,2,,,,8800,150000,2
954929,1,1,,2,2011,30,19,150000,1,,80,1,,1,,2,,,,6400,108000,1
954936,1,1,,2,2016,30,25,250000,3,1,,1,,1.4,,2,,,,12144,11111,2
954946,1,1,,2,2011,30,20,205000,1,,80,1,,1.8,,1,2,1,6,4500,172000,2
954955,1,1,,2,2013,35,27,295000,1,,80,2,1,,2,2,,,,10800,180000,2
954960,1,2,2,2,2015,15,9,180000,1,,75,2,1,,1.8,2,,,,18800,18000,2
954964,1,1,,2,2015,35,29,120000,1,,70,2,1,,1,2,,,,4500,100000,2
954977,1,1,,2,2020,30,29,145000,1,,99,1,,3,,2,,,,5000,142000,2
955010,1,1,,2,2017,25,21,140000,1,,70,2,1,,2,2,,,,6500,120000,2
955020,1,1,,2,2011,30,20,130000,1,,100,2,1,,1,2,,,,4800,92000,2
955021,1,1,,2,2016,20,15,100000,1,,90,3,1,2,2,2,,,,7200,90000,2
955073,1,1,,2,2018,25,22,140000,1,,75,1,,4,,2,,,,5800,125000,2
955081,1,2,1,2,2005,25,9,160000,1,,100,2,2,,1,2,,,,7200,70000,1
955104,1,1,,2,2018,30,27,200000,1,,80,2,1,,1,2,,,,7000,190000,2
955106,1,1,,2,2014,30,24,140000,1,,60,1,,2,,2,,,,7000,100000,2
955111,1,1,,2,2012,30,21,200000,1,,70,2,2,,1.25,2,,,,7200,135000,2
955121,1,1,,2,2018,20,17,210000,1,,80,1,,2,,2,,,,13000,190000,2
955150,1,3,,3,2005,30,15,250000,1,,80,2,1,,2,1,1,,,1000,145000,2
955151,1,1,,2,2017,20,18,280000,1,,80,1,,2,,2,,,,6000,250000,2
955151,2,3,,3,2013,20,5,20000,1,,80,1,,4,,2,,,,3000,5000,2
955156,1,1,,2,2006,30,15,224000,1,,100,2,1,,1,2,,,,8400,160000,2
955158,1,1,,2,2017,25,21,280000,1,,60,1,,1,,1,1,,,5000,200000,2
955163,1,1,,2,2002,30,10,200000,1,,50,2,1,,1,2,,,,3400,50000,2
955175,1,1,,2,2015,30,20,220000,1,,80,1,,2,,2,,,,11000,200000,2
955176,1,1,,2,2017,30,25,230000,1,,100,2,1,,1,1,2,1,6,5000,210000,2
955179,1,1,,2,2018,30,26,150000,1,,80,2,1,,1,2,,,,6000,130000,2
955183,1,1,,2,2013,40,32,300000,1,,90,1,,1,,2,,,,12000,250000,2
955204,1,1,,2,2004,20,3,175000,1,,60,2,1,,0.8,2,,,,9400,35000,2
955219,1,1,,2,1994,30,4,75000,1,,100,1,,2.5,,2,,,,5760,24000,2
955224,1,1,,2,2006,25,10,150000,1,,90,1,,1.5,,2,,,,8000,100000,2
955233,1,1,,2,2005,25,10,160000,1,,100,2,2,,3.5,2,,,,4500,36000,2
955267,1,1,,2,2009,30,19,168000,1,,85,2,2,,3.5,2,,,,7000,110000,2
955274,1,1,,2,2007,25,8,150000,1,,40,2,2,,1.4,2,,,,8400,74000,2
955308,1,1,,2,2011,25,16,270000,1,,100,2,2,,3,2,,,,7800,170000,2
955310,1,1,,2,2003,20,3,83000,1,,100,1,,6.5,,1,2,1,12,1500,13200,2
955315,1,1,,2,2005,20,5,100000,1,,100,2,1,,1,2,,,,5880,27000,2
955327,1,1,,1,2004,30,10,100000,1,,50,2,2,,2.5,2,,,,6000,90000,1
955327,2,2,2,2,2012,20,15,33000,1,,5,3,2,2.5,0.2,2,,,,2800,22000,1
955332,1,1,,1,1995,30,5,80000,1,,75,1,,4,,2,,,,1500,30000,1
955335,1,2,1,2,2015,8,2,220000,1,,50,2,1,,0.9,2,,,,30000,62000,2
955342,1,1,,1,2007,20,7,80000,1,,80,1,,3.5,,1,2,1,3,2880,28000,1
955345,1,1,,2,2017,30,26,260000,1,,100,2,1,,0.75,2,,,,12000,240000,1
955361,1,1,,2,2018,15,13,184000,1,,80,1,,0.7,,2,,,,13800,162000,2
955425,1,1,,2,2018,20,18,200000,3,1,,1,,2,,2,,,,14400,170000,2
955426,1,1,,2,2011,30,21,500000,1,,70,1,,6.5,,2,,,,16000,430000,2
955426,2,2,1,3,1998,25,3,103000,3,1,,1,,3,,2,,,,7000,18000,1
955431,1,1,,2,2003,25,7,220000,1,,80,2,1,,2,2,,,,9500,75000,2
955487,1,1,,2,2004,30,17,230000,1,,100,1,,3,,2,,,,13400,160000,1
955488,1,1,,2,2005,30,14,17000,3,1,,2,1,,2,2,,,,7200,10000,2
955488,2,1,,2,2012,20,11,119000,3,1,,2,1,,3,2,,,,8200,90000,2
955598,1,1,,2,2010,30,19,135000,1,,50,1,,1,,2,,,,6000,95000,2
955653,1,1,,2,2013,20,12,300000,1,,60,1,,2.5,,2,,,,20000,140000,2
955679,1,1,,2,2012,25,16,240000,1,,70,1,,2,,2,,,,15000,150000,2
955680,1,2,1,2,2013,20,11,90000,3,1,,1,,0.5,,2,,,,5100,50000,2
955702,1,1,,2,2011,40,20,500000,1,,80,1,,2,,2,,,,20000,300000,2
955710,1,1,,2,2015,25,19,200000,1,,70,1,,2.8,,2,,,,11500,140000,2
955717,1,1,,2,2006,25,11,300000,1,,35,3,2,1,1,2,,,,14000,150000,2
955720,1,1,,2,1997,25,1,65000,1,,80,1,,3,,2,,,,6000,12000,1
955732,1,1,,2,2007,25,10,400000,1,,70,1,,5,,2,,,,17460,200000,2
955750,1,1,,2,2014,20,13,250000,1,,80,1,,3,,2,,,,13000,160000,2
955753,1,1,,2,2006,30,14,350000,1,,63,1,,5,,2,,,,17640,235000,1
955757,1,1,,2,2006,25,10,650000,1,,100,2,1,,1,2,,,,15000,100000,2
955763,1,1,,2,2015,30,24,220000,1,,80,1,,1,,2,,,,9600,200000,2
955777,1,1,,2,2016,25,20,270000,1,,60,1,,0.95,,2,,,,12600,220000,1
955778,1,1,,2,2005,25,10,320000,1,,50,2,2,,1,2,,,,14000,150000,2
955782,1,2,1,2,2010,10,1,80000,1,,80,1,,6,,2,,,,10000,15000,2
955804,1,1,,2,2018,25,23,300000,1,,80,1,,1.32,,2,,,,16000,283000,1
955833,1,1,,2,2020,20,19,226000,1,,70,1,,0.9,,2,,,,12000,226000,1
955853,1,1,,2,2009,30,18,200000,1,,100,1,,2,,2,,,,13200,68000,1
955865,1,1,,1,2017,30,26,300000,1,,70,1,,1.2,,2,,,,12000,270000,2
955874,1,1,,2,2015,30,24,250000,1,,100,1,,1,,2,,,,14000,180000,1
955875,1,1,,2,2017,30,27,370000,1,,100,1,,2,,2,,,,15000,345000,2
955886,1,1,,2,2006,30,15,250000,1,,80,1,,2,,2,,,,11000,150000,2
955919,1,1,,2,2018,30,26,496000,1,,80,2,2,,1,2,,,,19000,450000,2
955920,1,1,,2,2005,25,20,150000,1,,50,1,,1.5,,2,,,,9600,100000,1
955960,1,1,,2,2006,30,15,170000,1,,90,2,1,,5,2,,,,10600,159000,2
955979,1,1,,2,2008,25,14,350000,1,,65,1,,1,,2,,,,14400,186510,1
955983,1,1,,2,2016,30,25,250000,1,,60,1,,1.6,,2,,,,8600,225000,2
955983,2,2,1,2,2016,20,15,50000,3,1,,1,,0.9,,2,,,,2500,42000,2
955997,1,1,,2,2009,24,12,220000,1,,100,1,,4,,2,,,,10200,110000,2
